免费 mian3fei4 "free (of charge)"
迷路 mi2lu4 "to lose the way; lost; labyrinth; labyrinthus vestibularis (of the inner ear)"
弄 nong4 "to do; to manage; to handle; to play with; to fool with; to mess with; to fix; to toy with"
排队 pai2dui4 "to line up"
排列 pai2lie4 "to arrange in order; (math.) permutation"
判断 pan4duan4 "to judge; to determine; judgment"
陪 pei2 "to accompany; to keep sb company; to assist"
骗 pian4 "to cheat; to swindle; to deceive; to get on (a horse etc) by swinging one leg over"
批评 pi1ping2 "to criticize; criticism"
破 po4 "broken; damaged; worn out; lousy; rotten; to break, split or cleave; to get rid of; to destroy; to break with; to defeat; to capture (a city etc); to expose the truth of"
敲 qiao1 "to hit; to strike; to tap; to rap; to knock; to rip sb off; to overcharge"
取 qu3 "to take; to get; to choose; to fetch"
缺少 que1shao3 "lack; shortage of; shortfall; to be short (of); to lack"
扔 reng1 "to throw; to throw away"
散步 san4bu4 "to take a walk; to go for a walk"
商量 shang1liang5 "to consult; to talk over; to discuss"
省 sheng3 "to save; to economize; to do without; to omit; to leave out; province; (archaic) central government department"
剩 sheng4 "to remain; to be left; to have as remainder"
生活 sheng1huo2 "to live; life; livelihood"
申请 shen1qing3 "to apply for sth"
使 shi3 "to make; to cause; to enable; to use; to employ; to send; to instruct sb to do sth; envoy; messenger"
失败 shi1bai4 "to be defeated; to lose; to fail (e.g. experiments); failure; defeat"
适合 shi4he2 "to fit; to suit"
失望 shi1wang4 "disappointed; to lose hope; to despair"
适应 shi4ying4 "to adapt; to fit; to suit"
使用 shi3yong4 "to use; to employ; to apply; to make use of"
收 shou1 "to receive; to accept; to collect; to put away; to restrain; to stop; in care of (used on address line after name)"
受到 shou4dao4 "to receive (praise, an education, punishment etc); to be ...ed (praised, educated, punished etc)"
收拾 shou1shi5 "to put in order; to tidy up; to pack; to repair; (coll.) to sort sb out; to fix sb"
输 shu1 "to lose; to transport; to donate; to enter (a password)"
说明 shuo1ming2 "to explain; to illustrate; to indicate; to show; to prove; explanation; directions; caption"
熟悉 shu2xi1 "to be familiar with; to know well"
死 si3 "to die; impassable; uncrossable; inflexible; rigid; extremely; damned"
抬 tai2 "to lift; to raise; (of two or more persons) to carry"
谈 tan2 "to speak; to talk; to converse; to chat; to discuss"
躺 tang3 "to recline; to lie down"
讨论 tao3lun4 "to discuss; to talk over"
讨厌 tao3yan4 "to dislike; to loathe; disagreeable; troublesome; annoying"
提 ti2 "to carry (hanging down from the hand); to lift; to put forward; to mention; to raise (an issue); upwards character stroke; lifting brush stroke (in painting); scoop for measuring liquid"
填空 tian2kong4 "to fill a job vacancy; to fill in a blank (e.g. on questionnaire or exam paper)"
提供 ti2gong1 "to offer; to supply; to provide; to furnish"
停 ting2 "to stop; to halt; to park (a car)"
提前 ti2qian2 "to shift to an earlier date; to do sth ahead of time; in advance"
提醒 ti2xing3 "to remind; to call attention to; to warn of"
同情 tong2qing2 "to sympathize with; sympathy"
通知 tong1zhi1 "to notify; to inform; notice; notification"
推 tui1 "to push; to cut; to refuse; to reject; to decline; to shirk (responsibility); to put off; to delay; to push forward; to nominate; to elect; massage"
推迟 tui1chi2 "to postpone; to put off; to defer"
脱 tuo1 "to shed; to take off; to escape; to get away from"
无 wu2 "not to have; no; none; not; to lack; un-; -less"
无法 wu2fa3 "unable; incapable"
误会 wu4hui4 "to misunderstand; to mistake; misunderstanding"
污染 wu1ran3 "to pollute; to contaminate (lit. and fig.)"
响 xiang3 "echo; sound; noise; to make a sound; to sound; to ring; loud; classifier for noises"
羡慕 xian4mu4 "to envy; to admire"
笑话 xiao4hua4
行 xing2 "to walk; to go; to travel; a visit; temporary; makeshift; current; in circulation; to do; to perform; capable; competent; effective; all right; will do; behavior; conduct"
醒 xing3 "to wake up; to be awake; to become aware; to sober up; to come to"
修理 xiu1li3 "to repair; to fix; to prune; to trim; (coll.) to sort sb out; to fix sb"
吸引 xi1yin3 "to attract; to appeal to; to fascinate"
演出 yan3chu1 "to act (in a play); to perform; to put on (a performance); performance; concert; show"
养成 yang3cheng2 "to cultivate; to raise; to form (a habit); to acquire"
研究 yan2jiu1 "research; a study; to research; to look into"
邀请 yao1qing3 "to invite; invitation"
赢 ying2 "to beat; to win; to profit"
应聘 ying4pin4 "to accept a job offer; to apply for an advertised position"
引起 yin3qi3 "to give rise to; to lead to; to cause; to arouse"
以为 yi3wei2
原谅 yuan2liang4 "to excuse; to forgive; to pardon"
阅读 yue4du2 "to read; reading"
约会 yue1hui4 "appointment; engagement; date; to arrange to meet"
允许 yun3xu3 "to permit; to allow"
预习 yu4xi2 "to prepare a lesson"
增加 zeng1jia1 "to raise; to increase"
占线 zhan4xian4 "busy (telephone line)"
照 zhao4 "to shine; to illuminate; according to; in accordance with; to shine; to illuminate; to reflect; to look at (one's reflection); to take (a photo); photo; as requested; as before"
招聘 zhao1pin4 "to invite applications for a job; to recruit"
整理 zheng3li3 "to arrange; to tidy up; to sort out; to straighten out; to list systematically; to collate (data, files); to pack (luggage)"
证明 zheng4ming2 "proof; certificate; identification; testimonial; to prove; to testify; to confirm the truth of"
指 zhi3 "finger; to point at or to; to indicate or refer to; to depend on; to count on; (of hair) to stand on end"
支持 zhi1chi2 "to be in favor of; to support; to back; support; backing; to stand by"
值得 zhi2de5 "to be worth; to deserve"
重视 zhong4shi4 "to attach importance to sth; to value"
转 zhuan3 "to turn; to change direction; to transfer; to forward (mail); (internet) to share (sb else's content)"
赚 zhuan4 "to earn; to make a profit"
祝贺 zhu4he4 "to congratulate; congratulations"
总结 zong3jie2 "to sum up; to conclude; summary"
租 zu1 "to hire; to rent; to charter; to rent out; to lease out; rent; land tax"
尊重 zun1zhong4 "to esteem; to respect; to honor; to value; eminent; serious; proper"
作用 zuo4yong4 "to act on; to affect; action; function; activity; impact; result; effect; purpose; intent"
爱护 ai4hu4 "to cherish; to treasure; to take care of; to love and protect"
爱惜 ai4xi1 "to cherish; to treasure; to use sparingly"
安慰 an1wei4 "to comfort; to console"
安装 an1zhuang1 "to install; to erect; to fix; to mount; installation"
熬夜 ao2ye4 "to stay up late or all night"
摆 bai3 "to arrange; to exhibit; to move to and fro; a pendulum"
办理 ban4li3 "to handle; to transact; to conduct"
保持 bao3chi2 "to keep; to maintain; to hold; to preserve"
保存 bao3cun2 "to conserve; to preserve; to keep; to save (a file etc) (computing)"
报到 bao4dao4 "to report for duty; to check in; to register"
报道 bao4dao4 "to report (news); report"
报告 bao4gao4 "to inform; to report; to make known; report; speech; talk; lecture"
包含 bao1han2 "to contain; to embody; to include"
包括 bao1kuo4 "to comprise; to include; to involve; to incorporate; to consist of"
保留 bao3liu2 "to keep; to retain; to have reservations (about sth); to hold back (from saying sth); to put aside for later"
抱怨 bao4yuan4 "to complain; to grumble; to harbor a complaint; to feel dissatisfied"
把握 ba3wo4 "to grasp (also fig.); to seize; to hold; assurance; certainty; sure (of the outcome)"
背 bei1 "to be burdened; to carry on the back or shoulder"
编辑 bian1ji2 "to edit; to compile; editor; compiler"
辩论 bian4lun4 "debate; argument; to argue over"
表达 biao3da2 "to express; to convey"
表明 biao3ming2 "to make clear; to make known; to state clearly; to indicate; known"
表现 biao3xian4 "to show; to show off; to display; to manifest; expression; manifestation; show; display; performance (at work etc); behavior"
避免 bi4mian3 "to avert; to prevent; to avoid; to refrain from"
播放 bo1fang4 "to broadcast; to transmit (by radio or tv)"
补充 bu3chong1 "to replenish; to supplement; to complement; additional; supplementary"
不如 bu4ru2 "not equal to; not as good as; inferior to; it would be better to"
踩 cai3 "to step on; to tread; to stamp; to press a pedal; to pedal (a bike); (online) to downvote"
采访 cai3fang3 "to interview; to gather news; to hunt for and collect; to cover"
采取 cai3qu3 "to adopt or carry out (measures, policies, course of action); to take"
参考 can1kao3 "consultation; reference; to consult; to refer"
参与 can1yu4 "to participate (in sth)"
操心 cao1xin1 "to worry about"
测验 ce4yan4 "test; to test"
插 cha1 "to insert; stick in; pierce; to take part in; to interfere; to interpose"
拆 chai1 "to tear open; to tear down; to tear apart; to open"
产生 chan3sheng1 "to arise; to come into being; to come about; to give rise to; to bring into being; to bring about; to produce; to engender; to generate"
吵 chao3 "to quarrel; to make a noise; noisy; to disturb by making a noise"
炒 chao3 "to stir-fry; to speculate; to hype; to fire (sb)"
抄 chao1 "to make a copy; to plagiarize; to search and seize; to raid; to grab; to go off with; to take a shortcut; to make a turning move; to fold one's arms"
吵架 chao3jia4 "to quarrel; to have a row; quarrel"
称 cheng1 "to weigh; to state; to name; name; appellation; to praise"
称 cheng1 "to weigh; to state; to name; name; appellation; to praise"
承担 cheng2dan1 "to undertake; to assume (responsibility etc)"
称呼 cheng1hu5 "to call; to address as; form of address; appellation"
成立 cheng2li4 "to establish; to set up; to be tenable; to hold water"
承认 cheng2ren4 "to admit; to concede; to recognize; recognition (diplomatic, artistic etc); to acknowledge"
承受 cheng2shou4 "to bear; to support; to inherit"
称赞 cheng1zan4 "to praise; to acclaim; to commend; to compliment"
