爸爸 ba4ba5 "(informal) father"
错 cuo4 "mistake; wrong; bad; interlocking; complex; to grind; to polish; to alternate; to stagger; to miss; to let slip; to evade; to inlay with gold or silver"
弟弟 di4di5 "younger brother"
房间 fang2jian1 room
服务员 fu2wu4yuan2
哥哥 ge1ge5 "older brother"
公共汽车 "gong1gong4 qi4che1"
公司 gong1si1 "company; firm; corporation"
孩子 hai2zi5 child
火车站 huo3che1zhan4
教室 jiao4shi4 classroom
机场 ji1chang3 "airport; airfield; (slang) service provider for shadowsocks or similar software for circumventing internet censorship"
鸡蛋 ji1dan4 "(chicken) egg; hen's egg"
姐姐 jie3jie5 "older sister"
咖啡 ka1fei1
考试 kao3shi4 "to take an exam; exam"
课 ke4 "subject; course; class; lesson; to levy; tax; form of divination"
路 lu4 "road; journey; route; line (bus etc); sort; kind"
旅游 lü3you2
妹妹 mei4mei5 "younger sister; young woman"
门 men2 "gate; door; gateway; doorway; opening; valve; switch; way to do something; knack; family; house; (religious) sect; school (of thought); class; category; phylum or division (taxonomy); classifier for large guns; classifier for lessons, subjects, branches of technology; (suffix) -gate (i.e. scandal; derived from watergate)"
面条 mian4tiao2 noodles
男 nan2 male
牛奶 niu2nai3 "cow's milk"
女 nü3
旁边 pang2bian1 "side; adjacent place"
票 piao4 "ticket; ballot; banknote; person held for ransom; amateur performance of chinese opera; classifier for groups, batches, business transactions"
铅笔 qian1bi3 "(lead) pencil"
晴 qing2 "clear; fine (weather)"
妻子 qi1zi5 wife
去年 qu4nian2 "last year"
日 ri4 "sun; day; date, day of the month"
生日 sheng1ri4 birthday
身体 shen1ti3 "the body; one's health; in person"
时间 shi2jian1 "time; period"
事情 shi4qing5 "affair; matter; thing; business"
手表 shou3biao3 wristwatch
手机 shou3ji1 "cell phone; mobile phone"
题 ti2 "topic; problem for discussion; exam question; subject; to inscribe; to mention"
外 wai4 "outside; in addition; foreign; external"
问题 wen4ti2 "question; problem; issue; topic"
洗 xi3 "to wash; to bathe; to develop (photographs); to shuffle (cards etc); to erase (a recording)"
小时 xiao3shi2 hour
西瓜 xi1gua1 watermelon
姓 xing4 "family name; surname; to be surnamed"
希望 xi1wang4 "to wish for; to desire; hope"
雪 xue3 "snow; (literary) to wipe away (a humiliation etc)"
羊肉 yang2rou4 "mutton; goat meat"
眼睛 yan3jing5 eye
颜色 yan2se4 "color; countenance; appearance; facial expression; pigment; dyestuff"
药 yao4 "leaf of the iris; medicine; drug; substance used for a specific purpose (e.g. poisoning, explosion, fermenting); to poison"
阴 yin1 "overcast (weather); cloudy; shady; yin (the negative principle of yin and yang); negative (electric.); feminine; moon; implicit; hidden; genitalia"
意思 yi4si5 "idea; opinion; meaning; wish; desire; interest; fun; token of appreciation, affection etc; to give as a small token; to do sth as a gesture of goodwill etc"
游泳 you2yong3 "swimming; to swim"
右边 you4bian5 "right side; right, to the right"
鱼 yu2 fish
运动 yun4dong4 "to move; to exercise; sports; exercise; motion; movement; campaign"
早上 zao3shang5 "early morning"
丈夫 zhang4fu5 husband
准备 zhun3bei4 "preparation; to prepare; to intend; to be about to; reserve (fund)"
左边 zuo3bian5 "left; the left side; to the left of"
爱好 ai4hao4 "to like; to be fond of; to take pleasure in; to be keen on; interest; hobby"
阿姨 a1yi2 "maternal aunt; step-mother; childcare worker; nursemaid; woman of similar age to one's parents (term of address used by child)"
班 ban1 "team; class; squad; work shift; ranking; classifier for groups of people and scheduled transport vehicles"
办法 ban4fa3 "means; method; way (of doing sth)"
办公室 ban4gong1shi4 "office; business premises; bureau"
包 bao1 "to cover; to wrap; to hold; to include; to take charge of; to contract (to or for); package; wrapper; container; bag; to hold or embrace; bundle; packet"
报纸 bao4zhi3 "newspaper; newsprint"
北 bei3 north
北方 bei3fang1 "north; the northern part a country; china north of the yellow river"
杯子 bei1zi5 "cup; glass"
变化 bian4hua4 "(intransitive) to change; to vary; change; variation"
表演 biao3yan3 "play; show; performance; exhibition; to perform; to act; to demonstrate"
别人 bie2ren2
笔记本 bi3ji4ben3
宾馆 bin1guan3 "guesthouse; lodge; hotel"
冰箱 bing1xiang1 "icebox; freezer cabinet; refrigerator"
比赛 bi3sai4 "competition (sports etc); match; to compete"
鼻子 bi2zi5 nose
菜 cai4 "dish (type of food); vegetable; cuisine; (coll.) (one's) type; (of one's skills etc) weak; poor"
菜单 cai4dan1 menu
船 chuan2 "boat; vessel; ship"
草 cao3 "grass; straw; manuscript; draft (of a document); careless; rough"
超市 chao1shi4
成绩 cheng2ji4 "achievement; performance records; grades"
城市 cheng2shi4 "city; town"
衬衫 chen4shan1 "shirt; blouse"
厨房 chu2fang2 kitchen
春 chun1 "spring (season); gay; joyful; youthful; love; lust; life"
出租车 chu1zu1che1 taxi
词典 ci2dian3 dictionary
词语 ci2yu3 "word (general term including monosyllables through to short phrases); term (e.g. technical term); expression"
蛋糕 dan4gao1 cake
打算 da3suan4 "to plan; to intend; to calculate; plan; intention; calculation"
灯 deng1 "lamp; light; lantern"
电脑 dian4nao3 computer
电视 dian4shi4 "television; tv"
电梯 dian4ti1 "elevator; escalator"
电影 dian4ying3 "movie; film"
电子邮件 "dian4zi3 you2jian4"
地方 di4fang5 "area; place; space; room; territory"
地铁 di4tie3 "underground railway; subway; subway train"
地图 di4tu2 map
东 dong1 "east; host (i.e. sitting on east side of guest); landlord"
冬 dong1 "winter; rat-a-tat"
动物 dong4wu4 animal
东西 dong1xi5 "thing; stuff; person"
耳朵 er3duo5 "ear; handle (on a cup)"
飞机 fei1ji1 airplane
附近 fu4jin4 "nearby; neighboring; (in the) vicinity (of); neighborhood"
刚才 gang1cai2 "just now; a moment ago"
个子 ge4zi5 "height; stature; build; size"
公园 gong1yuan2 "park (for public recreation)"
狗 gou3 dog
关系 guan1xi5 "relation; relationship; to concern; to affect; to have to do with; guanxi"
国家 guo2jia1 "country; nation; state"
过去 guo4qu4 "(in the) past; former; previous; to go over; to pass by"
果汁 guo3zhi1 "fruit juice"
故事 gu4shi5 "narrative; story; tale"
河 he2 river
黑板 hei1ban3 blackboard
后来 hou4lai2 "afterwards; later; newly arrived"
花 hua1 "flower; blossom; fancy pattern; florid; to spend (money, time); (coll.) lecherous; lustful; flower; blossom"
画 hua4 "to draw; to paint; picture"
黄河 Huang2He2
环境 huan2jing4 "environment; circumstances; surroundings; ambient"
花园 hua1yuan2 garden
会议 hui4yi4 "meeting; conference"
护照 hu4zhao4 passport
脚 jiao3 "foot; leg (of an animal or an object); base (of an object); classifier for kicks"
街道 jie1dao4 "street; subdistrict; residential district"
节目 jie2mu4 "program; item (on a program)"
节日 jie2ri4 "holiday; festival"
机会 ji1hui4 "opportunity; chance; occasion"
季节 ji4jie2 "time; season; period"
经理 jing1li3 "manager; director"
句子 ju4zi5 sentence
客人 ke4ren2 "visitor; guest; customer; client"
空调 kong1tiao2 "air conditioning; air conditioner (including units that have a heating mode)"
口 kou3 "mouth; classifier for things with mouths (people, domestic animals, cannons, wells etc); classifier for bites or mouthfuls"
筷子 kuai4zi5 chopsticks
裤子 ku4zi5 "pants; trousers; pants"
脸 lian3 face
练习 lian4xi2 "to practice; exercise; drill; practice"
邻居 lin2ju1 "neighbor; next door"
历史 li4shi3 history
礼物 li3wu4 "gift; present"
楼 lou2 "house with more than 1 story; storied building; floor"
路 lu4 "road; journey; route; line (bus etc); sort; kind"
马 ma3 "horse; horse or cavalry piece in chinese chess; knight in western chess"
猫 mao1 "cat; (dialect) to hide oneself; (coll.) modem"
帽子 mao4zi5 "hat; cap; (fig.) label; bad name"
门 men2 "gate; door; gateway; doorway; opening; valve; switch; way to do something; knack; family; house; (religious) sect; school (of thought); class; category; phylum or division (taxonomy); classifier for large guns; classifier for lessons, subjects, branches of technology; (suffix) -gate (i.e. scandal; derived from watergate)"
米 mi3 "rice; meter (classifier)"
面包 mian4bao1 bread
面条 mian4tiao2 noodles
奶奶 nai3nai5 "(informal) grandma (paternal grandmother); (respectful) mistress of the house; (coll.) boobies; breasts"
南 nan2 south
年级 nian2ji2 "grade; year (in school, college etc)"
鸟 niao3 "bird; (dialect) to pay attention to; (intensifier) damned; goddamn"
盘子 pan2zi5 "tray; plate; dish"
票 piao4 "ticket; ballot; banknote; person held for ransom; amateur performance of chinese opera; classifier for groups, batches, business transactions"
啤酒 pi2jiu3
瓶子 ping2zi5 bottle
皮鞋 pi2xie2 "leather shoes"
葡萄 pu2tao5 grape
普通话 pu3tong1hua4
钱 qian2 "coin; money"
铅笔 qian1bi3 "(lead) pencil"
秋 qiu1 "autumn; fall; harvest time"
裙子 qun2zi5 skirt
伞 san3 "umbrella; parasol; damask silk"
声音 sheng1yin1 "voice; sound"
世界 shi4jie4 world
手机 shou3ji1 "cell phone; mobile phone"
书 shu1 "book; letter; document; to write"
树 shu4 "tree; to cultivate; to set up"
水平 shui3ping2 "level (of achievement etc); standard; horizontal"
叔叔 shu1shu5 "father's younger brother; uncle"
数学 shu4xue2 "mathematics; mathematical"
司机 si1ji1 "chauffeur; driver"
太阳 tai4yang2
糖 tang2 "sugar; sweets; candy"
天气 tian1qi4 weather
体育 ti3yu4 "sports; physical education"
同事 tong2shi4 "colleague; co-worker"
头发 tou2fa5 "hair (on the head)"
腿 tui3 "leg; hip bone"
图书馆 tu2shu1guan3 library
碗 wan3 "bowl; cup"
文化 wen2hua4 "culture; civilization; cultural"
问题 wen4ti2 "question; problem; issue; topic"
西 xi1 "the west; spanish; west"
夏 xia4 "the xia or hsia dynasty c. 2000 bc; summer"
香蕉 xiang1jiao1 banana
先生 xian1sheng5 "teacher; gentleman; sir; mister (mr.); husband; (dialect) doctor"
校长 xiao4zhang3 "(college, university) president; headmaster"
习惯 xi2guan4 "habit; custom; usual practice; to be used to"
信 xin4 "letter; mail; to trust; to believe; to profess faith in; truthful; confidence; trust; at will; at random"
行李箱 xing2li5xiang1
兴趣 xing4qu4 "interest (desire to know about sth); interest (thing in which one is interested); hobby"
新闻 xin1wen2 news
信用卡 xin4yong4ka3
熊猫 xiong2mao1 panda
洗手间 xi3shou3jian1
选择 xuan3ze2 "to select; to pick; choice; option; alternative"
雪 xue3 "snow; (literary) to wipe away (a humiliation etc)"
眼镜 yan3jing4 "spectacles; eyeglasses"
眼睛 yan3jing5 eye
要求 yao1qiu2 "to request; to require; requirement; to stake a claim; to ask; to demand"
爷爷 ye2ye5 "(coll.) father's father; paternal grandfather"
衣服 yi1fu5 clothes
以后 yi3hou4 "after; later; afterwards; following; later on; in the future"
一会儿 yi1hui4
影响 ying3xiang3 "influence; effect; to influence; to affect (usually adversely); to disturb"
银行 yin2hang2 bank
饮料 yin3liao4 "drink; beverage"
音乐 yin1yue4 music
以前 yi3qian2 "before; formerly; previous; ago"
游戏 you2xi4 "game; to play"
鱼 yu2 fish
月亮 yue4liang5 "the moon"
照片 zhao4pian4 "photograph; picture"
照相机 zhao4xiang4ji1
中间 zhong1jian1 "the middle; the inside; in the middle; within; between; among; during; in the meantime"
中文 Zhong1wen2
周末 zhou1mo4 weekend
字典 zi4dian3 "(coll.) dictionary"
自行车 zi4xing2che1 "bicycle; bike"
嘴 zui3 "mouth; beak; nozzle; spout (of teapot etc)"
最后 zui4hou4 "final; last; finally; ultimate"
最近 zui4jin4 "recently; soon; nearest"
作业 zuo4ye4 "school assignment; homework; work; task; operation; to operate"
作用 zuo4yong4 "to act on; to affect; action; function; activity; impact; result; effect; purpose; intent"
爱情 ai4qing2 "romance; love (romantic)"
安排 an1pai2 "to arrange; to plan; to set up; arrangements; plans"
安全 an1quan2 "safe; secure; safety; security"
包子 bao1zi5 "bao (steamed stuffed bun)"
表格 biao3ge2 "form; table"
表演 biao3yan3 "play; show; performance; exhibition; to perform; to act; to demonstrate"
标准 biao1zhun3 "standard; norm; criterion; (adjective) standard; good; correct; conforming to a standard"
饼干 bing3gan1 "biscuit; cracker; cookie"
博士 bo2shi4 "doctor; court academician (in feudal china); ph.d."
部分 bu4fen5 "part; share; section; piece"
材料 cai2liao4 "(raw) material; data; (fig.) person who has the potential to do the job"
餐厅 can1ting1 "dining hall; dining room; restaurant"
厕所 ce4suo3 "toilet; lavatory"
长城 Chang2cheng2
长江 chang2jiang1 "yangtze river, or chang jiang"
成功 cheng2gong1 "success; to succeed"
窗户 chuang1hu5 window
厨房 chu2fang2 kitchen
词语 ci2yu3 "word (general term including monosyllables through to short phrases); term (e.g. technical term); expression"
错误 cuo4wu4 "mistaken; false; wrong; error; mistake"
答案 da2an4 "answer; solution"
大夫 dai4fu5 "doctor; physician"
当时 dang1shi2 "then; at that time; while"
刀 dao1 "knife; blade; single-edged sword; cutlass; classifier for sets of one hundred sheets (of paper); classifier for knife cuts or stabs"
导游 dao3you2 "tour guide; guidebook; to conduct a tour"
大使馆 da4shi3guan3
登机牌 deng1ji1pai2
底 di3 "background; bottom; base; end (of the month, year etc); remnants; (math.) radix; base"
调查 diao4cha2 "investigation; inquiry; to investigate; to survey; survey; (opinion) poll"
地点 di4dian3 "place; site; location; venue"
地球 di4qiu2 "the earth"
地址 di4zhi3 address
动作 dong4zuo4 "movement; motion; to act; to move"
短信 duan3xin4 "text message; sms"
对话 dui4hua4 "to talk (with sb); dialogue; conversation"
对面 dui4mian4 "(sitting) opposite; across (the street); directly in front; to be face to face"
肚子 du4zi5 "belly; abdomen; stomach"
儿童 er2tong2 child
法律 fa3lü4
房东 fang2dong1 landlord
方法 fang1fa3 "method; way; means"
方面 fang1mian4 "respect; aspect; field; side"
方向 fang1xiang4 "direction; orientation"
翻译 fan1yi4 "to translate; to interpret; translator; interpreter; translation; interpretation"
付款 fu4kuan3 "to pay a sum of money; payment"
父亲 fu4qin5
感觉 gan3jue2 "feeling; impression; sensation; to feel; to perceive"
感情 gan3qing2 "emotion; sentiment; affection; feelings between two persons"
高速公路 gao1su4gong1lu4
胳膊 ge1bo5 arm
功夫 gong1fu5 "skill; art; kung fu; labor; effort"
工资 gong1zi1 "wages; pay"
广播 guang3bo1 "broadcast; broadcasting; to broadcast; (formal) to propagate; to publicize"
广告 guang3gao4 "to advertise; a commercial; advertisement"
关键 guan1jian4 "crucial point; crux; key; crucial; pivotal"
管理 guan3li3 "to supervise; to manage; to administer; management; administration"
观众 guan1zhong4 "spectators; audience; visitors (to an exhibition etc)"
规定 gui1ding4 "to stipulate; to specify; to prescribe; to fix (a price); to set (a quota); regulations; rules; provisions; stipulations"
顾客 gu4ke4 "customer; client"
鼓励 gu3li4 "to encourage"
过程 guo4cheng2 "course of events; process"
国籍 guo2ji2 nationality
国际 guo2ji4 international
果汁 guo3zhi1 "fruit juice"
海洋 hai3yang2 ocean
汗 han4 "perspiration; sweat; to be speechless (out of helplessness, embarrassment etc) (internet slang used as an interjection)"
航班 hang2ban1 "(scheduled) flight; (scheduled) sailing"
寒假 han2jia4 "winter vacation"
好处 hao3chu4
号码 hao4ma3 number
盒子 he2zi5 "box; case"
互联网 Hu4lian2wang3
活动 huo2dong4 "to exercise; to move about; to operate; to use connections (personal influence); loose; shaky; active; movable; activity; campaign; maneuver; behavior"
护士 hu4shi5 nurse
价格 jia4ge2 price
家具 jia1ju4 furniture
奖金 jiang3jin1 "premium; award money; bonus"
将来 jiang1lai2 "in the future; future; the future"
建议 jian4yi4 "to propose; to suggest; to recommend; proposal; suggestion; recommendation"
郊区 jiao1qu1 "suburban district; outskirts; suburbs"
教授 jiao4shou4 "professor; to instruct; to lecture on"
交通 jiao1tong1 "to be connected; traffic; transportation; communications; liaison"
教育 jiao4yu4 "to educate; to teach; education"
饺子 jiao3zi5 "dumpling; pot-sticker"
加油站 jia1you2zhan4
基础 ji1chu3 "base; foundation; basis; basic; fundamental"
节 jie2 "joint; node; (bound form) section; segment; solar term (one of the 24 divisions of the year in the traditional chinese calendar); seasonal festival; (bound form) to economize; to save; (bound form) moral integrity; chastity; classifier for segments: lessons, train wagons, biblical verses etc; knot (nautical miles per hour)"
结果 jie2guo3 "outcome; result; conclusion; in the end; as a result; to kill; to dispatch"
解释 jie3shi4 "explanation; to explain; to interpret; to resolve"
计划 ji4hua4 "plan; project; program; to plan; to map out"
警察 jing3cha2 "police; police officer"
经济 jing1ji4 "economy; economic"
京剧 jing1ju4 "beijing opera"
经历 jing1li4 "experience; to experience; to go through"
景色 jing3se4 "scenery; scene; landscape; view"
经验 jing1yan4 "experience; to experience"
竞争 jing4zheng1 "to compete; competition"
技术 ji4shu4 "technology; technique; skill"
记者 ji4zhe3 "reporter; journalist"
聚会 ju4hui4 "party; gathering; to meet; to get together"
距离 ju4li2 "distance; to be apart from"
看法 kan4fa3 "way of looking at a thing; view; opinion"
烤鸭 kao3ya1 "roast duck"
客厅 ke4ting1 "drawing room (room for arriving guests); living room"
科学 ke1xue2 "science; scientific knowledge; scientific; rational"
空气 kong1qi4 "air; atmosphere"
空儿 kong4
矿泉水 kuang4quan2shui3
困难 kun4nan5 "difficult; challenging; straitened circumstances; difficult situation"
垃圾桶 la1ji1tong3
老虎 lao3hu3 tiger
联系 lian2xi4 "connection; contact; relation; to get in touch with; to integrate; to link; to touch"
礼拜天 li3bai4tian1
礼貌 li3mao4 "courtesy; politeness; manners; courteous; polite"
零钱 ling2qian2 "change (of money); small change; pocket money"
力气 li4qi5 strength
理想 li3xiang3 "an ideal; a dream; ideal; perfect"
律师 lü4shi1
旅行 lü3xing2
麻烦 ma2fan5 "trouble; inconvenience; inconvenient; troublesome; annoying; to bother sb; to put sb to trouble"
毛 mao2 "hair; feather; down; wool; mildew; mold; coarse or semifinished; young; raw; careless; unthinking; nervous; scared; (of currency) to devalue or depreciate"
毛巾 mao2jin1 towel
梦 meng4 "dream; (bound form) to dream"
密码 mi4ma3 "cipher; secret code; password; pin"
民族 min2zu2 "nationality; ethnic group"
目的 mu4di4 "purpose; aim; goal; target; objective"
母亲 mu3qin1 mother
耐心 nai4xin1 "to be patient; patience"
内 nei4 "inside; inner; internal; within; interior"
内容 nei4rong2 "content; substance; details"
能力 neng2li4 "capability; ability"
年龄 nian2ling2 "(a person's) age"
判断 pan4duan4 "to judge; to determine; judgment"
皮肤 pi2fu1 skin
乒乓球 ping1pang1qiu2
平时 ping2shi2 "ordinarily; in normal times; in peacetime"
批评 pi1ping2 "to criticize; criticism"
脾气 pi2qi5 "character; temperament; disposition; bad temper"
葡萄 pu2tao5 grape
普通话 pu3tong1hua4
签证 qian1zheng4 "visa; to issue a visa"
桥 qiao2 bridge
巧克力 qiao3ke4li4
气候 qi4hou4 "(meteorology) climate; (fig.) climate; prevailing conditions (in human affairs)"
情况 qing2kuang4 "circumstances; state of affairs; situation"
亲戚 qin1qi5 "a relative (i.e. family relation)"
其中 qi2zhong1 "among; in; included among these"
全部 quan2bu4 "whole; all"
区别 qu1bie2 "difference; to distinguish; to discriminate; to make a distinction"
缺点 que1dian3 "weak point; fault; shortcoming; disadvantage"
任务 ren4wu5 "mission; assignment; task; duty; role"
日记 ri4ji4 diary
入口 ru4kou3 "entrance; to import"
森林 sen1lin2 forest
沙发 sha1fa1 "(internet slang) the first reply or replier to a forum post"
勺子 shao2zi5 "scoop; ladle"
社会 she4hui4 society
省 sheng3 "to save; to economize; to do without; to omit; to leave out; province; (archaic) central government department"
生活 sheng1huo2 "to live; life; livelihood"
生命 sheng1ming4 "life (as the characteristic of living beings); living being; creature"
生意 sheng1yi5 business
申请 shen1qing3 "to apply for sth"
失败 shi1bai4 "to be defeated; to lose; to fail (e.g. experiments); failure; defeat"
师傅 shi1fu5 "master; qualified worker; respectful form of address for older men"
实际 shi2ji4 "reality; practice; practical; realistic; real; actual"
世纪 shi4ji4 century
首都 shou3du1 "capital (city)"
售货员 shou4huo4yuan2
收入 shou1ru4 "to take in; income; revenue"
数量 shu4liang4 "amount; quantity; quantitative"
顺序 shun4xu4 "sequence; order"
说明 shuo1ming2 "to explain; to illustrate; to indicate; to show; to prove; explanation; directions; caption"
硕士 shuo4shi4 "master's degree; person who has a master's degree; learned person"
数字 shu4zi4 "numeral; digit; number; figure; amount; digital (electronics etc)"
速度 su4du4 "speed; rate; velocity; (music) tempo"
塑料袋 su4liao4dai4
孙子 sun1zi5 "grandson; son's son"
态度 tai4du5 "manner; bearing; attitude; approach"
汤 tang1 "soup; hot or boiling water; decoction of medicinal herbs; water in which sth has been boiled"
糖 tang2 "sugar; sweets; candy"
讨论 tao3lun4 "to discuss; to talk over"
特点 te4dian3 "characteristic (feature); trait; feature"
条件 tiao2jian4 "condition; circumstance; term; factor; requirement; prerequisite; qualification; situation; state; condition"
同情 tong2qing2 "to sympathize with; sympathy"
通知 tong1zhi1 "to notify; to inform; notice; notification"
网球 wang3qiu2 "tennis; tennis ball"
网站 wang3zhan4 "website; network station; node"
袜子 wa4zi5 "socks; stockings"
味道 wei4dao4
卫生间 wei4sheng1jian1
危险 wei1xian3 "danger; dangerous"
温度 wen1du4 temperature
文章 wen2zhang1 "article; essay; literary works; writings; hidden meaning"
误会 wu4hui4 "to misunderstand; to mistake; misunderstanding"
污染 wu1ran3 "to pollute; to contaminate (lit. and fig.)"
橡皮 xiang4pi2 "rubber; an eraser"
现金 xian4jin1 cash
小吃 xiao3chi1 "snack; refreshments"
效果 xiao4guo3 "result; effect; efficacy; (theater) sound or visual effects"
笑话 xiao4hua4
小伙子 xiao3huo3zi5 "young man; young guy; lad; youngster"
小说 xiao3shuo1 "novel; fiction"
消息 xiao1xi5 "news; information"
西红柿 xi1hong2shi4
信封 xin4feng1 envelope
性别 xing4bie2 "gender; sex"
幸福 xing4fu2 "happiness; happy; blessed"
性格 xing4ge2 "nature; disposition; temperament; character"
心情 xin1qing2 "mood; frame of mind"
信息 xin4xi1 "information; news; message"
信心 xin4xin1 "confidence; faith (in sb or sth)"
学期 xue2qi1 "term; semester"
牙膏 ya2gao1 toothpaste
压力 ya1li4 pressure
亚洲 Ya4zhou1
盐 yan2 salt
演出 yan3chu1 "to act (in a play); to perform; to put on (a performance); performance; concert; show"
样子 yang4zi5 "appearance; manner; pattern; model"
眼镜 yan3jing4 "spectacles; eyeglasses"
研究 yan2jiu1 "research; a study; to research; to look into"
演员 yan3yuan2 "actor or actress; performer"
钥匙 yao4shi5 key
叶子 ye4zi5 "(slang) marijuana"
意见 yi4jian4 "idea; opinion; suggestion; objection; complaint"
印象 yin4xiang4 "impression (sth that stays in one's mind); a memory"
艺术 yi4shu4 art
优点 you1dian3 "merit; benefit; strong point; advantage"
邮局 you2ju2 "post office"
友谊 you3yi4 "companionship; fellowship; friendship"
原因 yuan2yin1 "cause; origin; root cause; reason"
约会 yue1hui4 "appointment; engagement; date; to arrange to meet"
语法 yu3fa3 grammar
羽毛球 yu3mao2qiu2
云 yun2 cloud
语言 yu3yan2 language
暂时 zan4shi2 "temporary; provisional; for the time being"
杂志 za2zhi4 magazine
责任 ze2ren4 "responsibility; blame; duty"
招聘 zhao1pin4 "to invite applications for a job; to recruit"
证明 zheng4ming2 "proof; certificate; identification; testimonial; to prove; to testify; to confirm the truth of"
支持 zhi1chi2 "to be in favor of; to support; to back; support; backing; to stand by"
纸袋 zhi3dai4 "paper bag"
质量 zhi4liang4 "quality; (physics) mass"
知识 zhi1shi5 "knowledge; intellectual"
植物 zhi2wu4 "plant; vegetation"
职业 zhi2ye4 "occupation; profession; vocation; professional"
重点 zhong4dian3 "important point; main point; focus; key (project etc); to focus on; to put the emphasis on"
周围 zhou1wei2 "environs; surroundings; periphery"
专业 zhuan1ye4 "specialty; specialized field; main field of study (at university); major; professional"
主意 zhu2yi5
自然 zi4ran2 "nature; natural; naturally"
总结 zong3jie2 "to sum up; to conclude; summary"
作家 zuo4jia1 author
座位 zuo4wei4 seat
作用 zuo4yong4 "to act on; to affect; action; function; activity; impact; result; effect; purpose; intent"
左右 zuo3you4 "left and right; nearby; approximately; attendant; to control; to influence"
作者 zuo4zhe3 "author; writer"
爱心 ai4xin1 "compassion; kindness; care for others; love; charity (bazaar, golf day etc)"
岸 an4 "bank; shore; beach; coast"
安慰 an1wei4 "to comfort; to console"
傍晚 bang4wan3 "in the evening; when night falls; towards evening; at night fall; at dusk"
宝贝 bao3bei4 "treasured object; treasure; darling; baby; cowry; good-for-nothing or queer character"
报道 bao4dao4 "to report (news); report"
报告 bao4gao4 "to inform; to report; to make known; report; speech; talk; lecture"
包裹 bao1guo3 "to wrap up; to bind up; bundle; parcel; package"
报社 bao4she4 "newspaper (i.e. a company)"
保险 bao3xian3 "insurance; to insure; safe; secure; be sure; be bound to"
抱怨 bao4yuan4 "to complain; to grumble; to harbor a complaint; to feel dissatisfied"
把握 ba3wo4 "to grasp (also fig.); to seize; to hold; assurance; certainty; sure (of the outcome)"
背 bei1 "to be burdened; to carry on the back or shoulder"
背景 bei4jing3 "background; backdrop; context; (fig.) powerful backer"
被子 bei4zi5 quilt
本科 ben3ke1 "undergraduate course; undergraduate (attributive)"
本领 ben3ling3 "skill; ability; capability"
