匕 bi3 "dagger; ladle"
玄 xuan2 "black; mysterious"
议 yi4 "to comment on; to discuss; to suggest"
辽 liao2 "(bound form) distant; faraway"
圣 sheng4 "holy; sacred; saint; sage"
圣 ku1 "to dig"
矛 mao2 "spear; lance; pike"
纠 jiu1 "to gather together; to investigate; to entangle; to correct"
幼 you4 young
迂 yu1 "literal-minded; pedantic; doctrinaire; longwinded; circuitous"
戎 rong2 "army (matters); military affairs"
巩 gong3 "secure; solid"
扩 kuo4 "to enlarge"
芋 yu4 "taro; colocasia antiquorum; colocasia esculenta"
芒 mang2 "awn (of cereals); arista (of grain); tip (of a blade); miscanthus sinensis (type of grass)"
芝 zhi1 "zoysia pungens"
朽 xiu3 rotten
臣 chen2 "state official or subject in dynastic china; i, your servant (used in addressing the sovereign); kangxi radical 131"
夷 yi2 "non-han people, esp. to the east of china; barbarians; to wipe out; to exterminate; to tear down; to raze"
劣 lie4 inferior
吁 xu1 "sh; hush"
吁 yu4 "to implore"
吕 lü3 "pitchpipe, pitch standard, one of the twelve semitones in the traditional tone system"
吆 yao1 "to shout; to bawl; to yell (to urge on an animal); to hawk (one's wares)"
屿 yu3 islet
屹 yi4 "high and steep"
朱 zhu1 "vermilion; cinnabar"
廷 ting2 "palace courtyard"
竹 zhu2 "bamboo; kangxi radical 118"
迁 qian1 "to move; to shift; to change (a position or location etc); to promote"
迄 qi4 "as yet; until"
伟 wei3 "big; large; great"
乒 ping1 bing
伍 wu3 "squad of five soldiers; to associate with; five (banker's anti-fraud numeral)"
臼 jiu4 mortar
伐 fa2 "to cut down; to fell; to dispatch an expedition against; to attack; to boast"
仲 zhong4 "second month of a season; middle; intermediate; second amongst brothers"
卬 ang2 "i (regional colloquial); me"
仰 yang3 "to face upward; to look up; to admire; to rely on"
伪 wei3 "false; fake; forged; bogus; (prefix) pseudo-"
尹 yin3 "to administer; to oversee; to run"
彳 chi4 "step with the left foot (kangxi radical 60)"
舟 zhou1 boat
兆 zhao4 "(bound form) omen; to foretell; million; mega-; tera-"
企 qi3 "(bound form) to stand on tiptoe and look; to anticipate; to look forward to"
危 wei1 "danger; to endanger"
旬 xun2 "ten days; ten years; full period"
旨 zhi3 "imperial decree; purport; aim; purpose"
旭 xu4 "dawn; rising sun"
匈 xiong1 "hungary; hungarian"
庄 zhuang1 "farmstead; village; manor; place of business; banker (in a gambling game); grave or solemn; holdings of a landlord (in imperial china)"
庆 qing4 "to celebrate"
刘 liu2 "to kill; to slaughter"
夬 guai4 decisive
污 wu1 "dirty; filthy; foul; corrupt; to smear; to defile; dirt; filth"
汛 xun4 "high water; flood; to sprinkle water"
汝 ru3 thou
讳 hui4 "to avoid mentioning; taboo word; name of deceased emperor or superior"
讶 ya4 astounded
讹 e2 "error; false; to extort"
讼 song4 litigation
农 nong2 "(bound form) agriculture"
讽 feng3 "to satirize; to mock; to recite"
殳 shu1 "bamboo or wooden spear"
诀 jue2 "to bid farewell; tricks of the trade"
迅 xun4 "rapid; fast"
弛 chi2 "to unstring a bow; to slacken; to relax; to loosen"
阶 jie1 "rank or step; stairs"
妃 fei1 "imperial concubine"
羽 yu3 "feather; 5th note in pentatonic scale"
驮 duo4 "load carried by a pack animal"
驮 tuo2 "to carry on one's back"
纤 qian4 "boatman's tow-rope"
纤 xian1 "fine; delicate; minute"
驰 chi2 "to run fast; to speed; to gallop; to disseminate; to spread"
纫 ren4 "to thread (a needle); to sew; to stitch; (literary) very grateful"
巡 xun2 "to patrol; to make one's rounds; classifier for rounds of drinks"
玖 jiu3 "black jade; nine (banker's anti-fraud numeral)"
违 wei2 "to disobey; to violate; to separate; to go against"
韧 ren4 "annealed; pliable but strong; tough; tenacious"
抚 fu3 "to comfort; to console; to stroke; to caress; an old term for province or provincial governor"
坛 tan2 "platform; rostrum; altar; earthen jar"
抠 kou1 "to dig out; to pick out (with one's fingers); to carve; to cut; to study meticulously; to lift one's clothes; stingy; miserly"
扰 rao3 "to disturb"
扼 e4 "to grip forcefully; to clutch at; to guard; to control; to hold"
址 zhi3 "(bound form) site; location"
贡 gong4 "to offer tribute; tribute; gifts"
汞 hong4 "sound of a bell"
汞 gong3 "mercury (chemistry)"
坝 ba4 "dam; dike; embankment"
扳 ban1 "to pull; to turn (sth) around; to turn around (a situation); to recoup"
抡 lun1 "to swing (one's arms, a heavy object); to wave (a sword, one's fists); to fling (money)"
抡 lun2 "to select"
孝 xiao4 "filial piety or obedience; mourning apparel"
坎 kan3 "pit; threshold; pit; hole"
抑 yi4 "to restrain; to restrict; to keep down; or"
坟 fen2 "grave; tomb; embankment; mound"
坊 fang1 "lane (usually as part of a street name); memorial archway"
坊 fang2 "workshop; mill"
志 zhi4 "aspiration; ambition; the will; sign; mark; to record; to write a footnote"
拟 ni3 "doubtful; suspicious; to emulate; to imitate; to plan to; to draft (a plan); to imitate; to assess; to compare; pseudo-"
抒 shu1 "to express; to give expression to; to relieve"
芜 wu2 "overgrown with weeds"
苇 wei3 "reed; rush; phragmites communis"
芽 ya2 "bud; sprout"
芹 qin2 "chinese celery"
芥 jie4 mustard
苍 cang1 "dark blue; deep green; ash-gray"
芳 fang1 fragrant
芦 lu2 "rush; reed; phragmites communis"
芯 xin1 "(bound form) the pith of the rush plant (used as a lampwick)"
杠 gang1 "flagpole; footbridge"
杠 gang4 "thick pole; bar; rod; thick line; to mark with a thick line; to sharpen (a knife, razor etc); to get into a dispute with; standard; criterion"
材 cai2 "material; timber; ability; aptitude; a capable individual"
杖 zhang4 "a staff; a rod; cane; walking stick"
杏 xing4 "apricot; almond"
甫 fu3 "just; just now"
匣 xia2 box
励 li4 "to encourage; to urge"
尬 ga4 "embarrassing; awkwardly"
歼 jian1 "to annihilate"
轩 xuan1 "pavilion with a view; high; tall"
卤 lu3 "to stew in soy sauce and spices; alkaline soil; salt; brine; halogen (chemistry); crass; stupid"
旱 han4 drought
吱 zi1 "squeak; creak"
旷 kuang4 "to neglect; to skip (class or work); to waste (time); vast; loose-fitting"
吩 fen1 "leave instructions; to order"
吭 hang2 throat
吭 keng1 "to utter"
邑 yi4 "city; village"
囤 tun2 "to store; hoard"
囤 dun4 "bin for grain"
吮 shun3 "to suck"
岖 qu1 rugged
岗 gang3 "(bound form) hillock; mound; sentry post; policeman's beat; (bound form) job; post"
财 cai2 "money; wealth; riches; property; valuables"
牡 mu3 "(of a bird, animal or plant) male; key; hills"
秃 tu1 "bald; blunt"
估 gu1 estimate
估 gu4 "old; second-hand (clothes)"
佑 you4 "(bound form) to bless; to protect"
佃 dian4 farmer
佃 tian2 "to cultivate; to hunt"
伶 ling2 "clever; actress"
佣 yong4 "commission (for middleman); brokerage fee"
佣 yong1 "to hire; to employ; servant; hired laborer; domestic help"
氐 di3 "foundation; on the whole"
皂 zao4 "soap; black"
伺 ci4 "to wait on"
伺 si4 "to watch; to wait; to examine; to spy"
囱 cong1 chimney
役 yi4 "forced labor; obligatory task; military service; to use as servant; to enserf; war; campaign; battle"
返 fan3 "to return (to)"
邻 lin2 "neighbor; adjacent; close to"
岔 cha4 "fork in road; bifurcation; branch in road, river, mountain range etc; to branch off; to turn off; to diverge; to stray (from the path); to change the subject; to interrupt; to stagger (times)"
肛 gang1 "anus; rectum"
肘 zhou3 "elbow; pork shoulder"
甸 dian4 "suburbs or outskirts; one of the five degrees of official mourning attire in dynastic china"
狈 bei4 "a legendary wolf; distressed; wretched"
彤 tong2 red
卵 luan3 "egg; ovum; spawn; (coll.) testicles; (expletive) fucking"
刨 bao4 "carpenter's plane; to plane (woodwork); to shave off; to peel (with a potato peeler etc)"
刨 pao2 "to dig; to excavate; (coll.) to exclude; not to count; to deduct; to subtract"
迎 ying2 "to welcome; to meet; to forge ahead (esp. in the face of difficulties); to meet face to face"
亩 mu3 "classifier for fields; unit of area equal to one fifteenth of a hectare"
况 kuang4 "moreover; situation"
庇 bi4 "to protect; cover; shelter; hide or harbor"
吝 lin4 stingy
庐 lu2 hut
序 xu4 "(bound form) order; sequence; (bound form) introductory; initial; preface"
冶 ye3 "to smelt; to cast; seductive in appearance"
闰 run4 "intercalary; an extra day or month inserted into the lunar or solar calendar (such as february 29)"
兑 dui4 "to cash; to exchange; to add (liquid); to blend"
灶 zao4 "kitchen stove; kitchen; mess; canteen"
灿 can4 "glorious; bright; brilliant; lustrous; resplendent"
灼 zhuo2 "to burn; to sear; to scorch; (bound form) bright; luminous"
沐 mu4 "to bathe; to cleanse; to receive; to be given"
沛 pei4 "copious; abundant"
汰 tai4 "to discard; to eliminate"
沥 li4 "to drip; to strain or filter; a trickle"
汽 qi4 "steam; vapor"
沦 lun2 "to sink (into ruin, oblivion); to be reduced to"
汹 xiong1 "torrential rush; tumultuous"
沧 cang1 "blue-green or azure (of water); vast (of water); cold"
沪 hu4 "short name for shanghai"
沈 shen3 "place name; liquid; to pour"
沁 qin4 "to seep; to percolate"
忧 you1 "to worry; to concern oneself with; worried; anxiety; sorrow; (literary) to observe mourning"
忱 chen2 "sincerity; honesty"
宏 hong2 "great; magnificent; macro (computing); macro-"
究 jiu1 "after all; to investigate; to study carefully"
灾 zai1 "disaster; calamity"
艮 gen3 "blunt; tough; chewy"
启 qi3 "to open; to start; to initiate; to enlighten or awaken; to state; to inform"
祀 si4 "to sacrifice; to offer libation to"
诈 zha4 "to cheat; to swindle; to pretend; to feign; to draw sb out; to try to extract information by deceit or bluff"
罕 han3 rare
诊 zhen3 "to examine or treat medically"
译 yi4 "to translate; to interpret"
忌 ji4 "to be jealous of; fear; dread; scruple; to avoid or abstain from; to quit; to give up sth"
陆 lu4 "(bound form) land (as opposed to the sea)"
陆 liu4 "six (banker's anti-fraud numeral)"
阻 zu3 "to hinder; to block; to obstruct"
坠 zhui4 "to fall; to drop; to weigh down"
姊 zi3 "older sister"
妨 fang2 "to hinder; (in the negative or interrogative) (no) harm; (what) harm"
妒 du4 "to envy (success, talent); jealous"
纬 wei3 "latitude; woof (horizontal thread in weaving); weft"
纲 gang1 "head rope of a fishing net; guiding principle; key link; class (taxonomy); outline; program"
驳 bo2 "variegated; heterogeneous; to refute; to contradict; to ship by barge; a barge; a lighter (ship)"
纵 zong4 "warp (the vertical threads in weaving); vertical; longitudinal; north-south (lines of longitude); lengthwise; to release; to indulge; even if"
纷 fen1 "numerous; confused; disorderly"
纺 fang3 "to spin (cotton or hemp etc); fine woven silk fabric"
玫 mei2 "(fine jade)"
卦 gua4 "divinatory diagram"
坷 ke3 "uneven (path); unfortunate (in life)"
丕 pi1 grand
坯 pi1 "blank (e.g. for a coin); unburnt earthenware; semifinished product"
拓 tuo4 "to expand; to push sth with the hand; to develop; to open up"
拓 ta4 "to make a rubbing (e.g. of an inscription)"
拢 long3 "to gather together; to collect; to approach; to draw near to; to add; to sum up; to comb (hair)"
坪 ping2 "a plain"
担 dan1 "to undertake; to carry; to shoulder; to take responsibility"
担 dan4 "two buckets full; carrying pole and its load; classifier for loads carried on a shoulder pole"
坤 kun1 "female principle"
拥 yong1 "to hold in one's arms; to embrace; to surround; to gather around; to throng; to swarm; (literary) to have; to possess"
拘 ju1 "to capture; to restrain; to constrain; to adhere rigidly to; inflexible"
拄 zhu3 "to lean on; to prop on"
拂 fu2 "to flick; to brush off; (of a breeze) to brush lightly over; (literary) to run counter to"
拙 zhuo1 "awkward; clumsy; dull; inelegant; (polite) my"
择 ze2 "to select; to choose; to pick over; to pick out; to differentiate; to eliminate"
拇 mu3 "thumb; big toe"
拗 ao4 "to bend in two so as to break; to defy; to disobey"
拗 niu4 "stubborn; obstinate"
茉 mo4 jasmine
苛 ke1 "severe; exacting"
茂 mao4 "luxuriant; (chemistry) cyclopentadiene"
苹 ping2 "(artemisia); duckweed; apple"
苗 miao2 "hmong or miao ethnic group of southwest china; sprout"
苟 gou3 "if; supposing; careless; negligent; temporarily"
苞 bao1 "bud; flower calyx; luxuriant; profuse"
茁 zhuo2 "to display vigorous, new growth; to sprout"
茄 qie2 eggplant
茎 jing1 "stalk; stem"
茅 mao2 "reeds; rushes"
枉 wang3 "to twist; crooked; unjust; in vain"
枢 shu1 "(bound form) hinge; pivot (usu. fig.)"
枫 feng1 "maple (genus acer)"
构 gou4 "to reach by stretching; to construct; to form; to make up; to compose; literary composition; paper mulberry (broussonetia papyrifera)"
杭 hang2 hangzhou
述 shu4 "to state; to tell; to narrate; to relate"
枕 zhen3 "pillow; to pillow"
枣 zao3 "(bound form) jujube; chinese date (zizyphus jujuba)"
郁 yu4 "(bound form) strongly fragrant; (bound form) (of vegetation) lush; luxuriant; (bound form) melancholy; depressed"
矾 fan2 alum
厕 ce4 "restroom; toilet; lavatory"
奋 fen4 "to exert oneself (bound form)"
殴 ou1 "to beat up; to hit sb"
垄 long3 "ridge between fields; row of crops; grave mound"
顷 qing3 "a short while; a little while ago; circa. (for approximate dates)"
叔 shu1 "uncle; father's younger brother; husband's younger brother"
歧 qi2 "divergent; side road"
卓 zhuo2 outstanding
虏 lu3 "prisoner of war; to capture; to take prisoner; slave"
昌 chang1 "prosperous; flourishing"
畅 chang4 "free; unimpeded; smooth; at ease; free from worry; fluent"
咙 long2 throat
固 gu4 "hard; strong; solid; sure; assuredly; undoubtedly; of course; indeed; admittedly"
呻 shen1 groan
咐 fu4 "to order"
咏 yong3 "to sing"
咖 ka1 "coffee; class; grade"
帜 zhi4 flag
岭 ling3 "mountain range; mountain ridge"
贩 fan4 "to deal in; to buy and sell; to trade in; to retail; to peddle"
贬 bian3 "to diminish; to demote; to reduce or devaluate; to disparage; to censure; to depreciate"
贮 zhu4 "to store; to save; stockpile"
氛 fen1 "miasma; vapor"
牧 mu4 "to herd; to breed livestock"
秆 gan3 "stalks of grain"
委 wei3 "to entrust; to cast aside; to shift (blame etc); to accumulate; roundabout; winding; dejected; listless; committee member; council; end; actually; certainly"
秉 bing3 "to grasp; to hold; to maintain"
侍 shi4 "to serve; to attend upon"
岳 yue4 "wife's parents and paternal uncles; high mountain; highest peak of a mountain ridge"
侥 jiao3 "by mere luck"
侄 zhi2 "nephew by the male line"
侣 lü3 companion
侨 qiao2 "emigrant; to reside abroad"
侈 chi3 "extravagant; wasteful; exaggerating"
卑 bei1 "low; base; vulgar; inferior; humble"
迫 po4 "to persecute; to oppress; embarrassed; to force; to compel; to approach or go towards; urgent; pressing"
欣 xin1 happy
径 jing4 "footpath; track; diameter; straight; directly"
刹 sha1 "to brake"
肴 yao2 "meat dishes; mixed viands"
斧 fu3 hatchet
觅 mi4 "(literary) to seek; to find"
孚 fu2 "to trust; to believe in"
贪 tan1 "to have a voracious desire for; to covet; greedy; corrupt"
贫 pin2 "poor; inadequate; deficient; garrulous"
忿 fen4 "anger; indignation; hatred"
肢 zhi1 limb
胀 zhang4 "to swell; dropsical; swollen; bloated"
朋 peng2 friend
肮 ang1 "dirty; filthy"
肪 fang2 "animal fat"
胁 xie2 "flank (the side of one's torso); to coerce; to threaten"
狐 hu2 fox
忽 hu1 "to neglect; to overlook; to ignore; suddenly"
狞 ning2 fierce-looking
饰 shi4 "decoration; ornament; to decorate; to adorn; to hide; to conceal (a fault); excuse (to hide a fault); to play a role (in opera); to impersonate"
饲 si4 "to raise; to rear; to feed"
疟 nüe4 malaria
疙 ge1 "pimple; wart"
疚 jiu4 "chronic disease; guilt; remorse"
卒 zu2 "soldier; servant; to finish; to die; finally; at last; pawn in chinese chess"
郊 jiao1 "suburbs; outskirts"
庚 geng1 "age; seventh in order; hepta"
育 yu4 "to have children; to raise or bring up; to educate"
氓 meng2 "common people"
闸 zha2 "sluice; lock (on waterway); gear; brake; sluice; lock (on waterway); electric switch or circuit breaker"
郑 zheng4 "zheng state during the warring states period"
炬 ju4 torch
炊 chui1 "to cook food"
炕 kang4 "kang (a heatable brick bed); to bake; to dry by the heat of a fire"
沫 mo4 "foam; suds"
戋 jian1 "narrow; small"
泄 xie4 "(bound form) to leak out; to discharge; (fig.) to divulge"
沽 gu1 "to buy; to sell"
沮 ju3 "to destroy; to stop"
泣 qi4 "to sob"
泞 ning4 muddy
泻 xie4 "to flow out swiftly; to flood; a torrent; diarrhea; laxative"
泌 mi4 "to secrete; to excrete"
沸 fei4 "to boil"
怔 zheng4 "stumped for words; to stare blankly"
怔 zheng1 "to stare blankly; startled"
怯 qie4 "timid; cowardly; rustic"
怖 bu4 "terror; terrified; afraid; frightened"
怜 lian2 "to pity"
怡 yi2 "harmony; pleased"
宠 chong3 "to love; to pamper; to spoil; to favor"
宜 yi2 "proper; should; suitable; appropriate"
宙 zhou4 "eternity; (geology) eon"
帘 lian2 "flag used as a shop sign; hanging screen or curtain"
宛 wan3 "winding; as if"
诚 cheng2 "sincere; authentic; really; truly"
祈 qi2 "to implore; to pray; to request"
诞 dan4 "birth; birthday; brag; boast; to increase"
诡 gui3 "sly; crafty; weird; bizarre; contradictory; inconsistent"
询 xun2 "to ask about; to inquire about"
详 xiang2 "detailed; comprehensive"
聿 yu4 "then; and then"
肃 su4 "respectful; solemn; to eliminate; to clean up"
隶 li4 "attached to; scribe"
帚 zhou3 broom
屉 ti4 "drawer; tier; tray"
屈 qu1 "bent; to feel wronged"
弧 hu2 arc
承 cheng2 "to bear; to carry; to hold; to continue; to undertake; to take charge; owing to; due to; to receive"
孟 meng4 "first month of a season; eldest amongst brothers"
陋 lou4 "low; humble; plain; ugly; mean; vulgar"
陌 mo4 "raised path; street"
函 han2 "envelope; case; letter"
姑 gu1 "paternal aunt; husband's sister; nun; for the time being (literary)"
姆 mu3 "woman who looks after small children"
迢 tiao2 remote
叁 san1 "three (banker's anti-fraud numeral)"
艰 jian1 "difficult; hard; hardship"
绅 shen1 "member of gentry"
驹 ju1 colt
驼 tuo2 "hump or hunchbacked; camel"
绍 shao4 "to continue; to carry on"
绎 yi4 "continuous; to interpret; to unravel"
贯 guan4 "to pierce through; to pass through; to be stringed together; string of 1000 cash"
贰 er4 "two (banker's anti-fraud numeral); to betray"
玷 dian4 "blemish; disgrace; flaw in jade"
玲 ling2 "tinkling of gem-pendants"
珊 shan1 coral
拭 shi4 "to wipe"
拷 kao3 "to beat; to flog; to examine under torture"
拱 gong3 "to cup one's hands in salute; to surround; to arch; to dig earth with the snout; arched"
挎 kua4 "to carry (esp. slung over the arm, shoulder or side)"
挟 xie2 "to clasp under the arm; to coerce"
政 zheng4 "political; politics; government"
曳 ye4 "to drag; to pull"
哉 zai1 "(exclamatory or interrogative particle)"
括 kuo4 "to enclose; to include"
垢 gou4 "dirt; disgrace"
垛 duo3 "battlement; target"
垛 duo4 pile
丞 cheng2 deputy
拯 zheng3 "to raise; to aid; to support; to save; to rescue"
荆 jing1 "chaste tree or berry (vitex agnus-castus)"
茸 rong2 "(bound form) (of newly sprouted grass) soft and fine; downy"
革 ge2 "animal hide; leather; to reform; to remove; to expel (from office)"
茬 cha2 "stubble land after crop has been taken; a second crop obtained by rotation of land; an opportunity"
荐 jian4 "to recommend; grass; straw mat"
卅 sa4 thirty
茧 jian3 "(bound form) cocoon"
茵 yin1 mattress
荒 huang1 "desolate; shortage; scarce; out of practice; absurd; uncultivated; to neglect"
茫 mang2 "vast, with no clear boundary; fig. hazy; indistinct; unclear; confused"
荤 hun1 "strong-smelling vegetable (garlic etc); non-vegetarian food (meat, fish etc); vulgar; obscene"
荧 ying2 "a glimmer; glimmering; twinkling; fluorescence; phosphorescence; perplexed; dazzled and confused"
故 gu4 "happening; instance; reason; cause; intentional; former; old; friend; therefore; hence; (of people) to die, dead"
荫 yin4 shade
荔 li4 litchi
栈 zhan4 "a wooden or bamboo pen for sheep or cattle; wood or bamboo trestlework; a warehouse; (computing) stack"
柑 gan1 "large tangerine"
枯 ku1 "dried up"
柄 bing3 "handle or shaft (of an axe etc); (of a flower, leaf or fruit) stem; sth that affords an advantage to an opponent; classifier for knives or blades"
栅 zha4 fence
柳 liu3 willow
柿 shi4 persimmon
柠 ning2 lemon
孛 bei4 comet
柬 jian3 "card; note; letter"
研 yan2 "to grind; study; research"
厘 li2 "one hundredth; centi-"
砌 qi4 "to build by laying bricks or stones"
砂 sha1 "sand; gravel; granule"
砚 yan4 ink-stone
鸥 ou1 "common gull"
殃 yang1 calamity
轴 zhou2 "axis; axle; spool (for thread); roller (for scrolls); classifier for calligraphy rolls etc"
鸦 ya1 crow
韭 jiu3 leek
览 lan3 "to look at; to view; to read"
昧 mei4 "to conceal; dark"
盹 dun3 "doze; nap"
映 ying4 "to reflect (light); to shine; to project (an image onto a screen etc)"
昨 zuo2 yesterday
昭 zhao1 "bright; clear; manifest; to show clearly"
畏 wei4 "to fear"
虹 hong2 rainbow
蚂 ma3 ant
蚂 ma4 grasshopper
蚂 ma1 dragonfly
咽 yan4 "to swallow"
咽 yan1 "throat; pharynx; narrow pass"
咽 ye4 "to choke (in crying)"
勋 xun1 "medal; merit"
哗 hua1 "clang; sound of gurgling, splashing or flowing water; (interjection expressing surprise) wow"
哗 hua2 "clamor; noise; (bound form) sound used to call cats"
哆 duo1 "quiver; woolen cloth"
炭 tan4 "wood charcoal; coal"
峡 xia2 gorge
贻 yi2 "to present; to bequeath"
幽 you1 "remote; hidden away; secluded; serene; peaceful; to imprison; in superstition indicates the underworld"
钠 na4 "sodium (chemistry)"
钦 qin1 "to respect; to admire; to venerate; by the emperor himself"
钧 jun1 "30 catties; great; your (honorific)"
钮 niu3 button
缶 fou3 pottery
缸 gang1 "jar; vat; classifier for loads of laundry"
矩 ju3 "carpenter's square; rule; regulation; pattern; to carve"
毡 zhan1 "felt (fabric)"
适 shi4 "to fit; suitable; proper; just (now); comfortable; well; to go; to follow or pursue"
秋 qiu1 "autumn; fall; harvest time"
竿 gan1 pole
贷 dai4 "to lend on interest; to borrow; a loan; leniency; to make excuses; to pardon; to forgive"
促 cu4 "urgent; hurried; to urge; to promote; to urge haste; close; intimate"
俐 li4 clever
侮 wu3 "to insult; to ridicule; to disgrace"
佥 qian1 all
俭 jian3 "frugal; thrifty; needy"
俘 fu2 "to take prisoner; prisoner of war"
皇 huang2 emperor
侵 qin1 "to invade; to encroach; to infringe; to approach"
禹 yu3 "yu the great (c. 21st century bc), mythical leader who tamed the floods"
俊 zun4 "cool; neat"
俊 jun4 "smart; eminent; handsome; talented"
徊 huai2 "to hesitate; to pace back and forth; irresolute"
衍 yan3 "to spread out; to develop; to overflow; to amplify; superfluous"
叙 xu4 "to narrate; to chat"
胚 pei1 embryo
胧 long2 "rising moon"
胞 bao1 "placenta; womb; born of the same parents"
脉 mai4 "arteries and veins; vein (on a leaf, insect wing etc)"
勉 mian3 "to exhort; to make an effort"
狭 xia2 "narrow; narrow-minded"
狰 zheng1 "hideous; fierce-looking"
狡 jiao3 "crafty; cunning; sly"
贸 mao4 "commerce; trade"
刍 chu2 "to mow or cut grass; hay; straw; fodder"
饵 er3 "pastry; food; to swallow; to lure; bait; lure"
蚀 shi2 "to nibble away at sth; to eat into; to erode"
饺 jiao3 "dumplings with meat filling"
峦 luan2 "mountain ranges"
哀 ai1 "sorrow; grief; pity; to grieve for; to pity; to lament; to condole"
疮 chuang1 "sore; skin ulcer"
疫 yi4 "epidemic; plague"
咨 zi1 "to consult"
闺 gui1 "small arched door; boudoir; lady's chamber; (fig.) women"
阀 fa2 "powerful individual, family or group; clique"
阁 ge2 "pavilion (usu. two-storied); cabinet (politics); boudoir; woman's chamber; rack; shelf"
叛 pan4 "to betray; to rebel; to revolt"
籽 zi3 seeds
娄 lou2 "one of the 28 lunar mansions in chinese astronomy"
炼 lian4 "to refine; to smelt"
烁 shuo4 "bright; luminous"
洼 wa1 "depression; sunken; swamp"
柒 qi1 "seven (banker's anti-fraud numeral)"
浊 zhuo2 "turbid; muddy; impure"
洽 qia4 "accord; to make contact; to agree; to consult with; extensive"
氿 gui3 "mountain spring"
浏 liu2 "clear; deep (of water); swift"
恃 shi4 "to rely on; mother (formal)"
亘 gen4 "extending all the way across; running all the way through"
恒 heng2 "permanent; constant; fixed; usual; ordinary"
恢 hui1 "to restore; to recover; great"
恍 huang3 "disappointed; flurried; indistinct"
恬 tian2 "quiet; calm; tranquil; peaceful"
恼 nao3 "to get angry"
宣 xuan1 "to declare (publicly); to announce"
宦 huan4 "imperial official; court eunuch"
宪 xian4 "statute; constitution"
突 tu1 "to dash; to move forward quickly; to bulge; to protrude; to break through; to rush out; sudden"
诫 jie4 "commandment; to prohibit"
诬 wu1 "to accuse falsely"
袄 ao3 "coat; jacket; short and lined coat or robe"
祠 ci2 "shrine; to offer a sacrifice"
诱 you4 "(literary) to induce; to entice"
诲 hui4 "to teach; to instruct; to induce"
甬 yong3 "short name for ningbo; path screened by walls on both sides"
诵 song4 "to read aloud; to recite"
