忸怩 niu3ni2 bashful; blushing" 
菁 jing1 "艹 cao3, 十 shi2, 青 qing1, 土 tu3, 月 yue4"  茎京经荆惊晶睛兢精鲸泾旌腈粳猄 8 "菁 jing1 leek flower; lush; luxuriant
芜菁 wu2jing1 turnip
菁英 jing1ying1 elite
菁华 jing1hua2 the cream; essence; the quintessence
蔓菁 man2jing5 turnip; wild cabbage" 
谆 zhun1 "讠 yan2, 享 xiang3, 亠 tou2, 口 kou3, 子 zi3, 了 liao3"  肫窀衠 9 "谆 zhun1 sincere; earnest; untiring
谆谆 zhun1zhun1 earnest; devoted; tireless; sincere; assiduous" 
褴 lan2 "衤 yi1, 监 jian1, 皿 min3"  兰拦栏婪蓝澜篮岚阑谰斓镧𬒗襕 10 "褴 lan2 ragged garments
褴褛 lan2lü3 ragged; shabby" 
虞 yu2 "虍 hu1, 七 qi1, ㇀ ti2, 大 da4, 人 ren2, 口 kou3"  于余鱼娱渔隅逾渝愉榆愚舆玙欤妤盂 11 "虞 yu2 to expect; to anticipate; to worry; to cheat
不虞 bu4yu2 unexpected; eventuality; contingency; not worry about
堪虞 kan1yu2 worrisome; precarious; to be at risk
无虞 wu2yu2 not to be worried about; all taken care of
驺虞 zou1yu2 zouyu (mythical animal); official in charge of park animals; name of an archaic ceremonial tune" 
觑 qu4 "虚 xu1, 虍 hu1, 七 qi1, ㇀ ti2, 业 ye4, 䒑 cao3, 见 jian4, 儿 er2"  去趣阒 12 "觑 qu4 to spy; watch for
小觑 xiao3qu4 to despise; to have contempt for
相觑 xiang1qu4 to look at each other
觑合 qu4he2 to squint
觑步 qu4bu4 to spy on" 
缜 zhen3 "纟 si1, ㇀ ti2, 真 zhen1, 十 shi2, 具 ju4, 三 san1, 二 er4, 八 ba1"  诊枕疹轸畛昣袗稹鬒 13 "缜 zhen3 fine and dense
缜密 zhen3mi4 meticulous; careful; deliberate; delicate; fine (texture)
缜匝 zhen3za1 dense; fine (texture)
缜润 zhen3run4 fine and smooth" 
嶙 lin2 "山 shan1, 凵 kan3, 米 mi3, 木 mu4, 十 shi2, 舛 chuan3, 夕 xi1"  邻林临淋琳磷鳞啉粼遴璘霖辚麟箖 14 "嶙 lin2 ranges of hills
嶙峋 lin2xun2 bony (of people); craggy; rugged (of terrain); upright (of people)" 
桡 rao2 "木 mu4, 十 shi2, 尧 yao2, 兀 wu4, 儿 er2"  饶娆荛 15 "桡 rao2 radius (anatomy); bone of the forearm
桡骨 rao2gu3 radius (anatomy); bone of the forearm
阻桡 zu3rao2 thwart; obstruct" 
叱 chi4 "口 kou3"  斥赤翅饬炽敕啻瘛彳痓傺 16 "叱 chi4 to scold; shout at; to hoot at
叱责 chi4ze2 to upbraid
叱呵 chi4he1 to shout angrily; to yell
叱咄 chi4duo1 to reprimand; to berate
叱咤 chi4zha4 to rebuke angrily" 
琶 pa2 "王 wang2, 土 tu3, 十 shi2, 巴 ba1, 巳 si4" "潖 pa2" 爬杷筢潖 17 "琵琶 pi2pa5 pipa, chinese lute, with 4 strings, a large pear-shaped body and a fretted fingerboard
琶洲 pa2zhou1 pazhou district in guangzhou, guangdong; pazhou island in guangzhou, formerly called whampoa, historical anchoring point for foreign trade ships
琶音 pa2yin1 (music) arpeggio" 
邑 yi4 "口 kou3, 巴 ba1, 巳 si4" "悒 yi4, 挹 yi4, 浥 yi4, 邕 yong1, 扈 hu4" 亿义艺忆议屹亦异抑役译易绎疫益 18 "邑 yi4 city; town; village
城邑 cheng2yi4 (literary) towns; cities
干邑 gan1yi4 cognac
采邑 cai4yi4 fief
首邑 shou3yi4 local capital; regional capital" 
鸢 yuan1 "弋 yi4, 鸟 niao3, 乌 wu1, 马 ma3"  鸳冤渊箢眢涴蜎 19 "鸢 yuan1 kite (small hawk)
纸鸢 zhi3yuan1 kite
鸢尾 yuan1wei3 iricdaceae, the iris family" 
殒 yun3 "歹 dai3, 夕 xi1, 员 yuan2, 口 kou3, 贝 bei4, 人 ren2"  允陨狁 20 "殒 yun3 to perish; to die
殒命 yun3ming4 to die; to perish" 
媞 ti2 "女 nü3, 是 shi4, 日 ri4, 囗 wei2"  提啼题蹄荑鹈缇醍鳀遆𫘨瑅 21 "媞 ti2 used as phonetic; female name" 
榉 ju3 "木 mu4, 十 shi2, 举 ju3, 兴 xing4, 八 ba1"  沮矩举咀莒蒟龃踽弆筥 22 "榉 ju3 zeikowa acuminata
榉木 ju3mu4 beech" 
钡 bei4 "钅 jin1, 二 er4, 贝 bei4, 人 ren2"  贝狈备背倍悖被辈惫孛邶焙蓓碚褙 23 "钡 bei4 barium (chemistry)" 
瞠 cheng1 "目 mu4, 囗 wei2, 堂 tang2, 土 tu3, 十 shi2"  称铛撑柽琤蛏偁赪 24 "瞠 cheng1 stare at sth beyond reach
瞠目 cheng1mu4 to stare" 
摈 bin4 "扌 shou3, ㇀ ti2, 宾 bin1, 宀 mian2, 冖 mi4, 兵 bing1, 丘 qiu1, 斤 jin1, 八 ba1"  鬓殡膑髌 25 "摈 bin4 to reject; to expel; to discard; to exclude; to renounce
摈弃 bin4qi4 to abandon; to discard; to cast away
摈斥 bin4chi4 to reject; to dismiss
摈除 bin4chu2 to discard; to get rid of; to dispense with" 
忤 wu3 "忄 xin1, 午 wu3, 十 shi2"  五午伍武侮捂鹉舞仵迕庑怃妩牾𣲘 26 "忤 wu3 disobedient; unfilial
乖忤 guai1wu3 stubborn; contrary; disobedient
忤逆 wu3ni4 disobedient to parents
违忤 wei2wu3 to disobey" 
蚝 hao2 "虫 chong2, 中 zhong1, 口 kou3, ㇀ ti2, 毛 mao2, 二 er4"  毫豪嚎嗥貉壕濠 27 "蚝 hao2 oyster
蚝油 hao2you2 oyster sauce
蚝豉 hao2chi3 dried oyster meat" 
扈 hu4 "邑 yi4, 口 kou3, 巴 ba1, 巳 si4"  互户护沪怙戽祜笏瓠冱昈岵鄠嫭鹱 28 "扈 hu4 retinue
跋扈 ba2hu4 domineering; bossy" 
罄 qing4 "声 sheng1, 士 shi4, 十 shi2, 殳 shu1, 又 you4, 缶 fou3, 午 wu3, 凵 kan3"  庆箐綮磬碃 29 "罄 qing4 to use up; to exhaust; empty
告罄 gao4qing4 to run out; to have exhausted
售罄 shou4qing4 to be completely sold out; to sell out
罄匮 qing4kui4 used-up; exhausted
罄然 qing4ran2 well disciplined" 
肼 jing3 "月 yue4, 井 jing3, 廾 gong3, 十 shi2"  井颈景警阱刭儆憬璟汫璥 30 "肼 jing3 hydrazine" 
祗 zhi1 "卜 bu3, 氐 di3, 氏 shi4"  之支汁芝吱枝知肢织脂蜘卮栀胝𦭜 31 "祗 zhi1 respectful (ly)" 
昙 tan2 "日 ri4, 囗 wei2, 云 yun2, 二 er4, 厶 si1"  坛谈痰谭潭檀郯倓惔榃锬磹 32 "昙 tan2 dark clouds
昙花 tan2hua1 dutchman's pipe cactus, aka queen of the night cactus (epiphyllum oxypetalum)
瞿昙 qu2tan2 gautama, surname of the siddhartha, the historical buddha" 
噌 ceng1 "口 kou3, 曾 ceng2"   33 "噌 ceng1 to scold" unique
嫡 di2 "女 nü3, 亠 tou2, 古 gu3, 十 shi2, 口 kou3"  迪敌涤笛嘀狄籴荻翟𬱖觌髢蹢 34 "嫡 di2 first wife; son of first wife
嫡系 di2xi4 direct line of descent; under one's personal command; school or faction passing on faithfully one's doctrine
嫡传 di2chuan2 handed down in a direct line from the founder
嫡子 di2zi3 son of first wife
嫡亲 di2qin1 closely related by blood" 
啐 cui4 "口 kou3, 卒 zu2, 十 shi2"  脆悴粹翠萃淬毳瘁 35 "啐 cui4 to spit" 
耷 da1 "大 da4, 人 ren2, 耳 er3"  搭嗒褡哒𨱏 36 "耷 da1 ears hanging down
耷拉 da1la5 to droop; to dangle" 
薏 yi4 "艹 cao3, 十 shi2, 意 yi4, 音 yin1, 立 li4, 亠 tou2, 䒑 cao3, 日 ri4, 囗 wei2, 心 xin1"  亿义艺忆议屹亦异抑邑役译易绎疫益 37 "薏苡 yi4yi3 job's tears plant (coix lacryma-jobi); chinese pearl barley" 
擀 gan3 "扌 shou3, ㇀ ti2"  秆赶敢感橄澉鳡 38 "擀 gan3 to roll (dough etc)" 
瘠 ji2 "疒 ne4, ㇀ ti2, 广 guang3, 厂 chang3, 脊 ji3, 月 yue4"  及吉级极即急疾棘集辑嫉藉籍岌汲佶 39 "瘠 ji2 barren; lean
贫瘠 pin2ji2 barren; infertile; poor
瘠薄 ji2bo2 (of land) infertile; barren
荒瘠 huang1ji2 desolate and poor; infertile" 
阡 qian1 "阝 fu4, 千 qian1, 十 shi2"  千迁牵铅谦签仟扦芊佥钎悭愆鹐骞 40 "阡 qian1 road leading north and south" 
拮 jie2 "扌 shou3, ㇀ ti2, 吉 ji2, 士 shi4, 十 shi2, 口 kou3"  节劫杰洁结桔捷睫截竭孑讦劼诘桀 41 "拮 jie2 antagonistic; laboring hard; pressed
拮据 jie2ju1 hard pressed for money; in financial straits" 
辄 zhe2 "车 che1, 十 shi2, 耳 er3"  折哲辙蛰谪磔晢喆詟 42 "辄 zhe2 then; at once; always
动辄 dong4zhe2 easily; readily; frequently; at every turn; at the slightest pretext" 
仃 ding1 "丁 ding1"  丁叮盯钉玎町疔酊耵 43 "仃 ding1 alone
伶仃 ling2ding1 alone and helpless" 
铿 keng1 "钅 jin1, 二 er4, 坚 jian1, 土 tu3, 十 shi2"  坑吭硁 44 "铿 keng1 jingling of metals; to strike
铿锵 keng1qiang1 sonorous; resounding; fig. resounding words
铿然 keng1ran2 clanging; resounding" 
峋 xun2 "山 shan1, 凵 kan3, 旬 xun2, 日 ri4, 囗 wei2"  旬寻巡询循荀洵浔恂珣鲟𬘓𬩽𬍤栒 45 "峋 xun2 ranges of hills
嶙峋 lin2xun2 bony (of people); craggy; rugged (of terrain); upright (of people)" 
槐 huai2 "木 mu4, 十 shi2, 鬼 gui3, 田 tian2, 囗 wei2, 儿 er2, 厶 si1"  怀徊淮踝 46 "槐 huai2 chinese scholar tree (sophora japonica)
洋槐 yang2huai2 black locust tree (robinia pseudoacacia)
槐树 huai2shu4 locust tree (sophora japonica)
刺槐 ci4huai2 false acacia; robinia pseudoacacia
国槐 guo2huai2 locust tree (sophora japonica)" 
坯 pi1 "土 tu3, 十 shi2, 丕 pi1, 不 bu4"  批披劈霹丕邳纰砒噼伾狉𬳵 47 "坯 pi1 blank; semifinished-product
坯子 pi1zi5 base; semifinished product; (fig.) the makings of (a talented actor etc)
毛坯 mao2pi1 semifinished products
土坯 tu3pi1 mud brick; adobe; unfired earthenware
坯件 pi1jian4 blank (for a coin etc); breed or strain" 
揶 ye2 "扌 shou3, ㇀ ti2, 耶 ye1, 耳 er3, 阝 fu4"  爷铘 48 "揶 ye2 to gesticulate; to play antics
揶揄 ye2yu2 to mock; to ridicule" rare
恸 tong4 "忄 xin1, 动 dong4, 云 yun2, 二 er4, 厶 si1, 力 li4"  痛 49 "恸 tong4 grief
悲恸 bei1tong4 mournful
哀恸 ai1tong4 to be deeply grieved" rare
娈 luan2 "女 nü3"  峦孪栾挛鸾脔滦銮 50 "娈 luan2 beautiful
娈童 luan2tong2 catamite (boy as homosexual partner); kept man; gigolo" 
藿 huo4 "艹 cao3, 十 shi2, 霍 huo4, 隹 zhui1, 亠 tou2, 土 tu3"  或货获祸惑霍豁镬嚯蠖濩㸌 51 "藿 huo4 lophanthus rugosus; beans
藿香 huo4xiang1 wrinkled giant hyssop; agastache rugosa (botany)" 
甾 zai1 "田 tian2, 囗 wei2, 十 shi2" "淄 zi1, 缁 zi1, 辎 zi1, 锱 zi1, 鲻 zi1" 灾哉栽 52 "甾 zai1 steroid nucleus
甾酮 zai1tong2 sterone (steroid containing a ketone group); steroid hormone
甾醇 zai1chun2 sterol (chemistry)" 
鲻 zi1 "鱼 yu2, ⺈ yi4, 田 tian2, 囗 wei2, 十 shi2, 甾 zai1"  咨姿资滋孜淄缁辎嗞嵫孳趑锱龇髭 53 "鲻 zi1 mullet
鲻鱼 zi1yu2 flathead grey mullet (mugil cephalus)" 
樟 zhang1 "木 mu4, 十 shi2, 章 zhang1, 立 li4, 亠 tou2, 䒑 cao3, 早 zao3, 日 ri4, 囗 wei2"  张章彰獐漳璋蟑鄣嫜暲 54 "樟 zhang1 camphor; cinnamonum camphara
樟脑 zhang1nao3 camphor c10h16o
樟宜 zhang1yi2 changi, area in the east of singapore, where singapore changi airport is located
樟木 zhang1mu4 dram (chinese zhangmu), town at tibet-nepal border
樟树 zhang1shu4 camphor; cinnamonum camphara" 
俾 bi3 "卑 bei1, 白 bai2, 日 ri4, 囗 wei2, 十 shi2"  匕比彼笔鄙吡妣秕芘沘舭 55 "俾 bi3 to cause; to enable; phonetic bi
俾使 bi3shi3 in order that; so that; so as to; to cause sth
俾倪 bi3ni2 parapet; to look askance
俾利 bi3li4 to facilitate; thus making easier" 
烃 ting1 "火 huo3, 人 ren2"  厅听汀𬘩桯 56 "烃 ting1 hydrocarbon
烷烃 wan2ting1 alkane
芳烃 fang1ting1 aromatic hydrocarbon
炔烃 que1ting1 (chemistry) alkyne
烯烃 xi1ting1 olefine; alkene (chemistry)" 
铆 mao3 "钅 jin1, 二 er4, 卯 mao3"  卯峁泖昴 57 "铆 mao3 to fasten with rivets; (coll.) to exert one's strength
铆钉 mao3ding1 rivet
铆上 mao3shang4 to go all out; to rise to
铆工 mao3gong1 riveter; worker with rivets
铆接 mao3jie1 to join with rivets; to rivet; riveted joint" 
庖 pao2 "广 guang3, 厂 chang3, 包 bao1, 巳 si4"  袍咆狍匏 58 "庖 pao2 kitchen
庖厨 pao2chu2 kitchen; cook; chef" 
讴 ou1 "讠 yan2, 区 qu1"  欧殴鸥瓯𫭟 59 "讴 ou1 to sing; ballad; folk song
讴歌 ou1ge1 acura (honda car model); (literary) to celebrate in song; to eulogize
讴吟 ou1yin2 song; chant; rhythmic declamation" 
饷 xiang3 "饣 shi2, ⺈ yi4, 向 xiang4, 口 kou3"  享响想飨鲞 60 "饷 xiang3 soldier's pay
军饷 jun1xiang3 a soldier's pay and provisions
兵饷 bing1xiang3 pay and provisions for soldiers
粮饷 liang2xiang3 army provisions
关饷 guan1xiang3 to receive one's salary; to pay sb's wages" 
蛹 yong3 "虫 chong2, 中 zhong1, 口 kou3, ㇀ ti2, 甬 yong3, 龴 jue2, 用 yong4"  永咏泳勇涌踊甬俑恿栐埇鲬 61 "蛹 yong3 chrysalis; pupa
化蛹 hua4yong3 to pupate; to turn into a chrysalis
成蛹 cheng2yong3 to pupate; to become a chrysalis
破蛹 po4yong3 to emerge from a pupa (of a butterfly etc)
蚕蛹 can2yong3 silkworm chrysalis; silkworm pupa" 
抻 chen1 "扌 shou3, ㇀ ti2, 申 shen1, 日 ri4, 囗 wei2"  郴琛嗔瞋𬘭棽 62 "抻 chen1 to pull; to stretch; to draw sth out
抻面 chen1mian4 to make noodles by pulling out dough; hand-pulled noodles" 
暨 ji4 "既 ji4, 旡 ji4, 旦 dan4, 日 ri4, 囗 wei2"  计记纪技忌际妓季剂迹济既继祭寄寂 63 "暨 ji4 and; to reach to; the limits
暨今 ji4jin1 up to now; to this day" 
荨 qian2 "艹 cao3, 十 shi2, 寻 xun2, 寸 cun4"  前钱钳乾潜黔钤虔掮靬墘 64 "荨麻 qian2ma2 nettle" 
萘 nai4 "艹 cao3, 十 shi2, 奈 nai4, 大 da4, 人 ren2, 示 shi4, 二 er4, 小 xiao3, 八 ba1"  奈耐柰鼐佴 65 "萘 nai4 naphthalene c10h8
萘丸 nai4wan2 mothball; naphthalene ball
萘醌 nai4kun1 naphthoquinone (chemistry)" 
倌 guan1 "官 guan1, 宀 mian2, 冖 mi4"  关观官冠棺纶鳏蒄 66 "倌 guan1 keeper of domestic animals; herdsman
猪倌 zhu1guan1 swineherd
堂倌 tang2guan1 attendant
看倌 kan4guan1 dear reader; dear listener" 
腭 e4 "月 yue4, 咢 e4, 口 kou3, 亏 kui1"  扼恶饿鄂遏愕噩鳄厄呃轭垩谔萼鹗 67 "腭 e4 palate; roof of the mouth
腭裂 e4lie4 cleft palate
软腭 ruan3e4 soft palate" 
秧 yang1 "禾 he2, 木 mu4, 十 shi2, 央 yang1, 大 da4, 人 ren2"  央殃鸯泱鞅咉 68 "秧 yang1 shoots; sprouts
插秧 cha1yang1 to transplant rice seedlings
秧苗 yang1miao2 seedling
拔秧 ba2yang1 to pull up seedlings (for transplanting)
秧子 yang1zi5 sapling; seedling; bud; baby animal" 
醐 hu2 "酉 you3, 西 xi1, 胡 hu2, 古 gu3, 十 shi2, 口 kou3, 月 yue4"  狐弧胡壶葫湖蝴糊囫斛猢瑚煳鹕槲縠 69 "醐 hu2 purest cream
醍醐 ti2hu2 refined cream cheese; nirvana; buddha nature; broth; flawless personal character" 
绌 chu4 "纟 si1, ㇀ ti2, 出 chu1, 屮 che4, 凵 kan3"  处畜触矗怵俶搐黜亍琡憷斶 70 "绌 chu4 crimson silk; deficiency; to stitch
紧绌 jin3chu4 supply shortage" 
釉 you4 "米 mi3, 木 mu4, 十 shi2, 由 you2, 日 ri4, 囗 wei2"  又右幼佑诱侑柚囿宥蚴鼬祐 71 "釉 you4 glaze (of porcelain)
瓷釉 ci2you4 porcelain glaze
青釉 qing1you4 celadon, classic chinese style of ceramic glaze" 
叵 po3 "口 kou3" "钷 po3, 笸 po3" 笸钷 72 "叵 po3 not; thereupon
叵测 po3ce4 unfathomable; unpredictable; treacherous" rare
貉 he2 "豸 zhi4, 各 ge4, 口 kou3"  禾合何和河荷核盒纥劾曷饸阂盍盉菏 73 "貉 he2 raccoon dog (nyctereutes procyonoides)
貉子 hao2zi5 raccoon dog (nyctereutes procyonoides)
貉绒 hao2rong2 precious fur obtained from skin of raccoon dog after removing hard bristle" 
钍 tu3 "钅 jin1, 二 er4, 土 tu3, 十 shi2"  土吐 74 "钍 tu3 thorium (chemistry)" rare
胴 dong4 "月 yue4, 同 tong2"  动冻栋洞侗垌峒胨恫硐 75 "胴 dong4 large intestine; torso
胴体 dong4ti3 carcass; naked body" 
驮 tuo2 "马 ma3, 大 da4, 人 ren2"  驼鸵佗陀坨沱柁砣酡跎橐鼍𬶍 76 "驮 tuo2 carry; on-back
驮马 tuo2ma3 pack horse
驮子 duo4zi5 pack animal's load
驮兽 tuo2shou4 beast of burden
驮畜 tuo2chu4 pack animal" 
莨 lang4 "艹 cao3, 十 shi2, 良 liang2, 艮 gen3"  浪阆蒗埌崀㫰 77 "莨 lang4 scopalia japonica maxin
莨菪 lang4dang4 black henbane" 
靛 dian4 "青 qing1, 土 tu3, 十 shi2, 月 yue4, 定 ding4, 宀 mian2, 冖 mi4"  电佃甸店玷垫淀惦奠殿坫钿簟癜阽 78 "靛 dian4 indigo pigment
靛蓝 dian4lan2 indigo (dye)
靛青 dian4qing1 indigo
山靛 shan1dian4 mercury
蓝靛 lan2dian4 indigo" 
咣 guang1 "口 kou3, 光 guang1, 兀 wu4, 儿 er2"  光胱垙洸珖桄𨐈 79 "咣 guang1 door banging shut
咣当 guang1dang1 crash; bang" 
襁 qiang3 "衤 yi1, 强 qiang2, 弓 gong1, 虽 sui1, 口 kou3, 虫 chong2, 中 zhong1, ㇀ ti2"  抢羟 80 "襁 qiang3 string of copper coins; cloth for carrying baby on back
襁褓 qiang3bao3 swaddling clothes; fig. early stage of development; infancy" rare
呓 yi4 "口 kou3, 艺 yi4, 艹 cao3, 十 shi2"  亿义艺忆议屹亦异抑邑役译易绎疫益 81 "呓 yi4 to talk in one's sleep
呓语 yi4yu3 to talk in one's sleep; crazy talk
梦呓 meng4yi4 talking in one's sleep; delirious ravings; nonsense; sheer fantasy" 
粤 yue4 "囗 wei2, 米 mi3, 木 mu4, 十 shi2"  月岳阅悦跃越刖玥钺樾龠𫐄𬸚瀹爚 82 "粤 yue4 cantonese
粤语 yue4yu3 cantonese language
粤菜 yue4cai4 cantonese cuisine
百粤 bai3yue4 baiyue, generic term for southern ethnic groups
粤剧 yue4ju4 cantonese opera" 
杈 cha1 "木 mu4, 十 shi2, 叉 cha1, 又 you4"  叉差插喳馇碴锸 83 "杈 cha1 fork of a tree; pitchfork
丫杈 ya1cha4 fork (of a tree); tool made of forked wood
打杈 da3cha4 to prune (branches)" 
铪 ha1 "钅 jin1, 二 er4, 合 he2, 人 ren2, 口 kou3"  哈 84 "铪 ha1 hafnium (chemistry)" rare
嬴 ying2 "女 nü3" "瀛 ying2" 迎荧盈莹萤营蝇赢茔萦蓥楹滢瀛溁 85  
笞 chi1 "台 tai2, 厶 si1, 口 kou3"  吃痴哧鸱蚩眵嗤媸螭魑𫄨瓻摛 86 "笞 chi1 to whip with bamboo strips
鞭笞 bian1chi1 to flog; to lash; to whip; to urge or goad along
榜笞 bang4chi1 to beat; to flog; to whip
笞刑 chi1xing2 whipping with bamboo strips (as corporal punishment)
笞掠 chi1lüe4 to flog" 
晔 ye4 "日 ri4, 囗 wei2, 华 hua1, 化 hua4, 十 shi2"  业叶页夜液腋曳邺烨谒靥馌 87 "晔 ye4 bright light; to sparkle" 
菪 dang4 "艹 cao3, 十 shi2, 宕 dang4, 宀 mian2, 冖 mi4, 石 shi2, 口 kou3"  荡档凼砀宕垱𬍡 88 "菪 dang4 henbane
莨菪 lang4dang4 black henbane" 
岑 cen2 "山 shan1, 凵 kan3, 今 jin1" "涔 cen2, 梣 chen2" 涔 89 "岑 cen2 small hill
岑彭 cen2peng2 cen peng (died 35 ad), chinese general" rare
糠 kang1 "米 mi3, 木 mu4, 十 shi2, 康 kang1, 广 guang3, 厂 chang3, 隶 li4, 八 ba1"  康慷𡐓𩾌 90 "糠 kang1 husk; (of a radish etc) spongy (and therefore unappetising)
米糠 mi3kang1 bran
筛糠 shai1kang1 to sift chaff; (fig.) to shake all over
木糠 mu4kang1 sawdust
秕糠 bi3kang1 chaff; worthless stuff" 
觐 jin4 "堇 jin3, 廿 nian4, 卄 nian4, 十 shi2, 口 kou3, 土 tu3, 见 jian4, 儿 er2"  尽进近劲晋浸禁妗荩浕烬靳缙噤赆 91 "觐 jin4 (history) to have an audience with the emperor
朝觐 chao2jin4 to give audience (of emperor); retainers' duty to pay respect to sovereign; hajj (islam)
觐见 jin4jian4 to have an audience (with the emperor)" 
绉 zhou4 "纟 si1, ㇀ ti2, 刍 chu2, ⺈ yi4"  咒宙昼皱骤纣㤘荮胄籀㑇酎 92 "绉 zhou4 crepe; wrinkle" 
髻 ji4 "髟 biao1, 三 san1, 二 er4, 彡 shan1, 吉 ji2, 士 shi4, 十 shi2, 口 kou3"  计记纪技忌际妓季剂迹济既继祭寄寂 93 "髻 ji4 hair rolled up in a bun, topknot
发髻 fa4ji4 hair worn in a bun or coil
丫髻 ya1ji4 bun (of hair); topknot
螺髻 luo2ji4 spiral coil (in hairdressing)" 
鲔 wei3 "鱼 yu2, ⺈ yi4, 田 tian2, 囗 wei2, 十 shi2, 有 you3, 月 yue4"  伟伪苇尾纬委萎玮炜洧诿娓隗猥韪痿 94 "鲔 wei3 little tuna; euthynnus alletteratus" 
轱 gu1 "车 che1, 十 shi2, 古 gu3, 口 kou3"  估咕沽孤姑菇辜呱鸪菰蛄酤觚箍蓇 95 "轱 gu1 wheel; to roll
轱辘 gu1lu4 wheel; to roll" 
呷 xia1 "口 kou3, 甲 jia3, 日 ri4, 囗 wei2"  虾瞎 96 "呷 xia1 suck, swallow, drink
呷呷 ga1ga1 honk" rare
怅 chang4 "忄 xin1, 长 zhang3"  畅倡唱鬯 97 "怅 chang4 regretful; upset; despairing; depressed
惆怅 chou2chang4 melancholy; depression
怅然 chang4ran2 disappointed and frustrated
怅惘 chang4wang3 distracted; listless; in low spirits" 
泮 pan4 "氵 shui3, ㇀ ti2, 半 ban4"  判盼叛畔袢襻 98 "泮 pan4 (literary) to melt; to dissolve" 
诿 wei3 "讠 yan2, 委 wei3, 禾 he2, 木 mu4, 十 shi2, 女 nü3"  伟伪苇尾纬委萎玮炜洧娓隗猥韪痿 99 "诿 wei3 to shirk; to give excuses
推诿 tui1wei3 to shirk responsibility; to blame others; to pass the buck
诿过 wei3guo4 to put the blame on sb else" 
龛 kan1 "合 he2, 人 ren2, 口 kou3, 龙 long2"  刊勘堪戡嵁 100 "龛 kan1 niche; shrine
神龛 shen2kan1 shrine; niche; household shrine
壁龛 bi4kan1 niche (in a wall)
龛影 kan1ying3 niche as shown in an x-ray (medicine)" 
诨 hun4 "讠 yan2, 军 jun1, 冖 mi4, 车 che1, 十 shi2"  混溷 101 "诨 hun4 jest; nickname
打诨 da3hun4 to intersperse comic remarks (in a performance); (fig.) to quip; to banter" rare
荽 sui1 "艹 cao3, 十 shi2, 妥 tuo3, 女 nü3"  虽眭睢濉 102 "荽 sui1 coriander
芫荽 yan2sui5 coriander (coriandrum sativum)
胡荽 hu2sui1 coriander
香荽 xiang1sui1 coriander" 
斓 lan2 "文 wen2, 亠 tou2, 乂 yi4, 阑 lan2, 门 men2, 柬 jian3, 束 shu4, 木 mu4, 十 shi2, 口 kou3"  兰拦栏婪蓝澜篮岚阑谰褴镧𬒗襕 103 "斑斓 ban1lan2 gorgeous; brightly colored; multicolored" 
嵩 song1 "山 shan1, 凵 kan3, 高 gao1, 亠 tou2, 口 kou3"  松忪凇菘淞娀崧 104 "嵩 song1 lofty; mt song in henan
龙嵩 long2song1 tarragon" 
芫 yan2 "艹 cao3, 十 shi2, 元 yuan2, 兀 wu4, 儿 er2"  延严言岩炎沿研盐阎蜒颜檐妍筵闫 105 "芫 yuan2 lilac daphne (daphne genkwa), used in chinese herbal medicine
芫荽 yan2sui5 coriander (coriandrum sativum)
胡芫 hu2yuan2 coriander
芫花 yuan2hua1 lilac daphne; daphne genkwa" 
