我们 wo3men5
特别 te4bie2
注意 zhu4yi4
甚至 shen4zhi4
保护 bao3hu4
真正 zhen1zheng4
结果 jie1guo3
表现 biao3xian4
小心 xiao3xin1
进来 jin4lai2
绝对 jue2dui4
长官 zhang3guan1
律师 lü4shi1
整个 zheng3ge4
表演 biao3yan3
正在 zheng4zai4
那边 na4bian5
故事 gu4shi5
结婚 jie2hun1
咱们 zan2men5
处理 chu3li3
妻子 qi1zi5
进行 jin4xing2
是否 shi4fou3
案子 an4zi5
行动 xing2dong4
第二 di4er4
努力 nu3li4
害怕 hai4pa4
调查 diao4cha2
失去 shi1qu4
成功 cheng2gong1
考虑 kao3lü4
刚才 gang1cai2
约会 yue1hui4
节目 jie2mu4
通过 tong1guo4
之间 zhi1jian1
别的 bie2de5
母亲 mu3qin1
主意 zhu3yi5
丈夫 zhang4fu5
解释 jie3shi4
联系 lian2xi4
生命 sheng1ming4
办公室 ban4gong1shi4
难道 nan2dao4
作为 zuo4wei2
奇怪 qi2guai4
极了 ji2le5
同意 tong2yi4
游戏 you2xi4
帮忙 bang1mang2
危险 wei1xian3
讨厌 tao3yan4
曾经 ceng2jing1
眼睛 yan3jing5
外面 wai4mian4
总统 zong3tong3
伤害 shang1hai4
控制 kong4zhi4
最近 zui4jin4
声音 sheng1yin1
快乐 kuai4le4
进入 jin4ru4
能够 neng2gou4
完成 wan2cheng2
昨晚 zuo2wan3
医院 yi1yuan4
而已 er2yi3
有趣 you3qu4
杰克 jie2ke4
部分 bu4fen5
要求 yao1qiu2
糟糕 zao1gao1
除了 chu2le5
容易 rong2yi4
保持 bao3chi2
虽然 sui1ran2
想到 xiang3dao4
理解 li3jie3
证据 zheng4ju4
简单 jian3dan1
夫人 fu1ren5
父母 fu4mu3
飞机 fei1ji1
家庭 jia1ting2
秘密 mi4mi4
尸体 shi1ti3
检查 jian3cha2
早上 zao3shang5
玩笑 wan2xiao4
任务 ren4wu5
现场 xian4chang3
博士 bo2shi4
紧张 jin3zhang1
简直 jian3zhi2
放弃 fang4qi4
电视 dian4shi4
不好意思 bu4hao3yi4si5
大概 da4gai4
音乐 yin1yue4
身体 shen1ti3
留下 liu2xia4
方式 fang1shi4
美元 mei3yuan2
监狱 jian1yu4
重新 chong2xin1
疯狂 feng1kuang2
收到 shou1dao4
其中 qi2zhong1
纽约 niu3yue1
带来 dai4lai2
抓住 zhua1zhu4
记录 ji4lu4
老兄 lao3xiong1
来自 lai2zi4
大学 da4xue2
照顾 zhao4gu5
聪明 cong1ming5
本来 ben3lai2
加油 jia1you2
多久 duo1jiu3
并且 bing4qie3
直接 zhi2jie1
突然 tu1ran2
开枪 kai1qiang1
除非 chu2fei1
死亡 si3wang2
终于 zhong1yu2
拥有 yong1you3
阻止 zu3zhi3
想象 xiang3xiang4
冷静 leng3jing4
方法 fang1fa3
能力 neng2li4
完美 wan2mei3
目标 mu4biao1
精神 jing1shen5
另外 ling4wai4
放松 fang4song1
休息 xiu1xi5
每天 mei3tian1
回答 hui2da2
凶手 xiong1shou3
负责 fu4ze2
介意 jie4yi4
系统 xi4tong3
睡觉 shui4jiao4
谋杀 mou2sha1
礼物 li3wu4
各位 ge4wei4
错误 cuo4wu4
随便 sui2bian4
头发 tou2fa5
兴趣 xing4qu4
报告 bao4gao4
经历 jing1li4
不用 bu4yong4
人类 ren2lei4
自由 zi4you2
支持 zhi1chi2
星期 xing1qi1
生气 sheng1qi4
建议 jian4yi4
做到 zuo4dao4
屁股 pi4gu5
生日 sheng1ri4
否则 fou3ze2
安排 an1pai2
年轻 nian2qing1
姑娘 gu1niang5
钥匙 yao4shi5
法官 fa3guan1
信息 xin4xi1
投票 tou2piao4
手术 shou3shu4
必要 bi4yao4
撒谎 sa1huang3
武器 wu3qi4
痛苦 tong4ku3
忘记 wang4ji4
存在 cun2zai4
首先 shou3xian1
以及 yi3ji2
代表 dai4biao3
坚持 jian1chi2
意义 yi4yi4
承认 cheng2ren4
发誓 fa1shi4
显然 xian3ran2
政府 zheng4fu3
遇到 yu4dao4
即使 ji2shi3
记住 ji4zhu5
幸运 xing4yun4
干什么 gan4shen2me5
犯罪 fan4zui4
跳舞 tiao4wu3
白痴 bai2chi1
新闻 xin1wen2
未来 wei4lai2
道歉 dao4qian4
可怜 ke3lian2
病人 bing4ren2
治疗 zhi4liao2
原谅 yuan2liang4
比较 bi3jiao4
组织 zu3zhi1
城市 cheng2shi4
老板 lao3ban3
合作 he2zuo4
差不多 cha4bu5duo1
老婆 lao3po2
研究 yan2jiu1
附近 fu4jin4
打扰 da3rao3
线索 xian4suo3
位置 wei4zhi5
电脑 dian4nao3
似乎 si4hu1
放下 fang4xia4
力量 li4liang5
命令 ming4ling4
提供 ti2gong1
威胁 wei1xie2
号码 hao4ma3
日子 ri4zi5
比如 bi3ru2
剩下 sheng4xia4
严重 yan2zhong4
享受 xiang3shou4
战争 zhan4zheng1
恭喜 gong1xi3
杀死 sha1si3
影响 ying3xiang3
利用 li4yong4
杀人 sha1ren2
失踪 shi1zong1
真相 zhen1xiang4
法律 fa3lü4
训练 xun4lian4
值得 zhi2de5
银行 yin2hang2
恐怖 kong3bu4
警官 jing3guan1
性感 xing4gan3
酒吧 jiu3ba1
讨论 tao3lun4
身份 shen1fen4
安静 an1jing4
多么 duo1me5
足够 zu2gou4
下午 xia4wu3
仍然 reng2ran2
一旦 yi1dan4
怀疑 huai2yi2
居然 ju1ran2
拒绝 ju4jue2
演员 yan3yuan2
交易 jiao1yi4
停止 ting2zhi3
因此 yin1ci3
恶心 e3xin1
受伤 shou4shang1
婊子 biao3zi5
属于 shu3yu2
舞蹈 wu3dao3
几乎 ji1hu1
算是 suan4shi4
出色 chu1se4
梦想 meng4xiang3
再次 zai4ci4
既然 ji4ran2
英雄 ying1xiong2
坐下 zuo4xia5
事件 shi4jian4
通知 tong1zhi1
无论 wu2lun4
适合 shi4he2
允许 yun3xu3
获得 huo4de2
公寓 gong1yu4
文件 wen2jian4
寻找 xun2zhao3
攻击 gong1ji1
邀请 yao1qing3
尽管 jin3guan3
浪费 lang4fei4
动物 dong4wu4
一半 yi1ban4
试图 shi4tu2
反应 fan3ying4
舒服 shu1fu5
失败 shi1bai4
一般 yi1ban1
介绍 jie4shao4
责任 ze2ren4
食物 shi2wu4
遗憾 yi2han4
设计 she4ji4
赢得 ying2de2
美丽 mei3li4
压力 ya1li4
味道 wei4dao5
淘汰 tao2tai4
厉害 li4hai5
私人 si1ren2
伟大 wei3da4
兴奋 xing1fen4
观众 guan1zhong4
子弹 zi3dan4
垃圾 la1ji1
毒品 du2pin3
测试 ce4shi4
精彩 jing1cai3
感情 gan3qing2
有时候 you3shi2hou5
袭击 xi2ji1
呼吸 hu1xi1
超级 chao1ji2
灵魂 ling2hun2
破坏 po4huai4
愉快 yu2kuai4
爆炸 bao4zha4
迟到 chi2dao4
带走 dai4zou3
晚餐 wan3can1
角色 jue2se4
路上 lu4shang5
见鬼 jian4gui3
杂志 za2zhi4
服务 fu2wu4
学习 xue2xi2
包括 bao1kuo4
汽车 qi4che1
时刻 shi2ke4
广告 guang3gao4
哥们 ge1men5
笨蛋 ben4dan4
公平 gong1ping2
玩意 wan2yi4
历史 li4shi3
拯救 zheng3jiu4
地球 di4qiu2
愚蠢 yu2chun3
炸弹 zha4dan4
联邦 lian2bang1
评委 ping2wei3
客气 ke4qi5
造成 zao4cheng2
周末 zhou1mo4
信号 xin4hao4
跟踪 gen1zong1
喝酒 he1jiu3
关键 guan1jian4
充满 chong1man3
究竟 jiu1jing4
习惯 xi2guan4
上班 shang4ban1
越来越 yue4lai2yue4
名单 ming2dan1
不幸 bu4xing4
恢复 hui1fu4
聚会 ju4hui4
怀孕 huai2yun4
公园 gong1yuan2
绑架 bang3jia4
部落 bu4luo4
资料 zi1liao4
干净 gan1jing4
婚姻 hun1yin1
教堂 jiao4tang2
健康 jian4kang1
客户 ke4hu4
脑袋 nao3dai5
分手 fen1shou3
方向 fang1xiang4
幸福 xing4fu2
接着 jie1zhe5
疯子 feng1zi5
将军 jiang1jun1
技术 ji4shu4
吃饭 chi1fan4
困难 kun4nan5
某种 mou3zhong3
记忆 ji4yi4
乐队 yue4dui4
紧急 jin3ji2
毫无 hao2wu2
提醒 ti2xing3
旅行 lü3xing2
惊喜 jing1xi3
拿走 na2zou3
逮捕 dai4bu3
旁边 pang2bian1
激动 ji1dong4
骄傲 jiao1ao4
监视 jian1shi4
权利 quan2li4
圣诞 sheng4dan4
黑人 hei1ren2
警告 jing3gao4
酒店 jiu3dian4
冠军 guan4jun1
尝试 chang2shi4
教练 jiao4lian4
随时 sui2shi2
敌人 di2ren2
搭档 da1dang4
谈话 tan2hua4
约翰 yue1han4
叫做 jiao4zuo4
顺利 shun4li4
死者 si3zhe3
傻瓜 sha3gua1
挑战 tiao3zhan4
职业 zhi2ye4
地址 di4zhi3
对付 dui4fu5
祈祷 qi2dao3
收拾 shou1shi5
状态 zhuang4tai4
周围 zhou1wei2
参与 can1yu4
彼此 bi3ci3
荣幸 rong2xing4
会议 hui4yi4
到达 dao4da2
显示 xian3shi4
队伍 dui4wu3
立刻 li4ke4
舞台 wu3tai2
取消 qu3xiao1
等待 deng3dai4
十分 shi2fen1
尊重 zun1zhong4
教授 jiao4shou4
开车 kai1che1
指纹 zhi3wen2
庆祝 qing4zhu4
偶像 ou3xiang4
裤子 ku4zi5
假装 jia3zhuang1
想起 xiang3qi3
侦探 zhen1tan4
无聊 wu2liao2
状况 zhuang4kuang4
恶魔 e4mo2
心脏 xin1zang4
似的 shi4de5
舞会 wu3hui4
家族 jia1zu2
战斗 zhan4dou4
复杂 fu4za2
社会 she4hui4
邻居 lin2ju1
展示 zhan3shi4
国王 guo2wang2
交给 jiao1gei3
项目 xiang4mu4
集中 ji2zhong1
冒险 mao4xian3
胜利 sheng4li4
普通 pu3tong1
印象 yin4xiang4
估计 gu1ji4
轻松 qing1song1
乐意 le4yi4
期待 qi1dai4
保险 bao3xian3
单独 dan1du2
著名 zhu4ming2
专家 zhuan1jia1
旅馆 lü3guan3
邪恶 xie2e4
赶快 gan3kuai4
更加 geng4jia1
风格 feng1ge2
免费 mian3fei4
追踪 zhui1zong1
报纸 bao4zhi3
机器 ji1qi4
解雇 jie3gu4
颜色 yan2se4
时光 shi2guang1
价值 jia4zhi2
仔细 zi3xi4
互相 hu4xiang1
厕所 ce4suo3
无辜 wu2gu1
彻底 che4di3
过程 guo4cheng2
申请 shen1qing3
人民 ren2min2
恐惧 kong3ju4
引起 yin3qi3
惊讶 jing1ya4
桌子 zhuo1zi5
毕业 bi4ye4
黑暗 hei1an4
事业 shi4ye4
厨房 chu2fang2
特殊 te4shu1
士兵 shi4bing1
屋子 wu1zi5
制造 zhi4zao4
全都 quan2dou1
打赌 da3du3
唱歌 chang4ge1
伦敦 lun2dun1
戒指 jie4zhi5
祝贺 zhu4he4
条件 tiao2jian4
作品 zuo4pin3
档案 dang4an4
千万 qian1wan4
靠近 kao4jin4
规则 gui1ze2
帽子 mao4zi5
协议 xie2yi4
搜查 sou1cha2
产生 chan3sheng1
接触 jie1chu4
卡车 ka3che1
抢劫 qiang3jie2
碰到 peng4dao4
规矩 gui1ju5
火车 huo3che1
逃跑 tao2pao3
部门 bu4men2
基本 ji1ben3
出租车 chu1zu1che1
分析 fen1xi1
地区 di4qu1
背叛 bei4pan4
拍摄 pai1she4
导致 dao3zhi4
大街 da4jie1
箱子 xiang1zi5
耶稣 ye1su1
宣布 xuan1bu4
执行 zhi2xing2
密码 mi4ma3
红色 hong2se4
骗子 pian4zi5
空间 kong1jian1
折磨 zhe2mo2
留言 liu2yan2
想念 xiang3nian4
尤其 you2qi2
经验 jing1yan4
盒子 he2zi5
干杯 gan1bei1
罪犯 zui4fan4
干掉 gan4diao4
程序 cheng2xu4
情绪 qing2xu4
创造 chuang4zao4
内心 nei4xin1
暴力 bao4li4
艺术 yi4shu4
满意 man3yi4
速度 su4du4
汤姆 tang1mu3
牺牲 xi1sheng1
勇敢 yong3gan3
愤怒 fen4nu4
数字 shu4zi4
范围 fan4wei2
太阳 tai4yang5
暂时 zan4shi2
优秀 you1xiu4
歌曲 ge1qu3
婴儿 ying1er2
可惜 ke3xi1
石头 shi2tou5
英尺 ying1chi3
细节 xi4jie2
科学 ke1xue2
船长 chuan2zhang3
歌手 ge1shou3
上校 shang4xiao4
餐厅 can1ting1
距离 ju4li2
讲话 jiang3hua4
团队 tuan2dui4
鼻子 bi2zi5
罢了 ba4le5
度过 du4guo4
德国 de2guo2
窗户 chuang1hu5
奇迹 qi2ji4
护士 hu4shi5
被捕 bei4bu3
后悔 hou4hui3
信仰 xin4yang3
媒体 mei2ti3
赶紧 gan3jin3
所谓 suo3wei4
建立 jian4li4
变化 bian4hua4
一辈子 yi1bei4zi5
姐妹 jie3mei4
政治 zheng4zhi4
孤独 gu1du2
巨大 ju4da4
惩罚 cheng2fa2
蓝色 lan2se4
退出 tui4chu1
鬼魂 gui3hun2
乔治 qiao2zhi4
神奇 shen2qi2
牧师 mu4shi1
年级 nian2ji2
环境 huan2jing4
刺激 ci4ji1
最佳 zui4jia1
废话 fei4hua4
效果 xiao4guo3
伤口 shang1kou3
现金 xian4jin1
掌握 zhang3wo4
麦克 mai4ke4
儿童 er2tong2
强大 qiang2da4
承诺 cheng2nuo4
脖子 bo2zi5
间谍 jian4die2
玩具 wan2ju4
传统 chuan2tong3
浪漫 lang4man4
巴黎 ba1li2
重复 chong2fu4
和平 he2ping2
欣赏 xin1shang3
尴尬 gan1ga4
年纪 nian2ji4
观察 guan1cha2
老鼠 lao3shu3
吃惊 chi1jing1
大楼 da4lou2
移动 yi2dong4
商店 shang1dian4
妓女 ji4nü3
不断 bu4duan4
熟悉 shu2xi1
公主 gong1zhu3
夜晚 ye4wan3
清醒 qing1xing3
感染 gan3ran3
抛弃 pao1qi4
思考 si1kao3
地图 di4tu2
按照 an4zhao4
美妙 mei3miao4
失陪 shi1pei2
关闭 guan1bi4
擅长 shan4chang2
幻想 huan4xiang3
药物 yao4wu4
忍受 ren3shou4
伙伴 huo3ban4
大麻 da4ma2
比尔 bi3er3
邮件 you2jian4
英语 ying1yu3
椅子 yi3zi5
鞋子 xie2zi5
陛下 bi4xia4
血液 xue4ye4
大卫 da4wei4
保佑 bao3you4
上尉 shang4wei4
教育 jiao4yu4
耳朵 er3duo5
葬礼 zang4li3
机构 ji1gou4
裙子 qun2zi5
即将 ji2jiang1
钻石 zuan4shi2
艰难 jian1nan2
坦白 tan3bai2
慈善 ci2shan4
罗马 luo2ma3
皮肤 pi2fu1
装置 zhuang1zhi4
全世界 quan2shi4jie4
棒球 bang4qiu2
新鲜 xin1xian1
左右 zuo3you4
痕迹 hen2ji4
稳定 wen3ding4
尊敬 zun1jing4
区域 qu1yu4
玻璃 bo1li5
勇气 yong3qi4
镜头 jing4tou2
联盟 lian2meng2
阳光 yang2guang1
审判 shen3pan4
嫉妒 ji2du4
借口 jie4kou3
土地 tu3di5
摇滚 yao2gun3
抱怨 bao4yuan4
签名 qian1ming2
时尚 shi2shang4
文章 wen2zhang1
打架 da3jia4
天赋 tian1fu4
海滩 hai3tan1
设备 she4bei4
打击 da3ji1
描述 miao2shu4
医疗 yi1liao2
隐藏 yin3cang2
注射 zhu4she4
阁下 ge2xia4
投资 tou2zi1
一致 yi1zhi4
转移 zhuan3yi2
摆脱 bai3tuo1
助手 zhu4shou3
魅力 mei4li4
启动 qi3dong4
恋爱 lian4ai4
迷人 mi2ren2
加州 jia1zhou1
建筑 jian4zhu4
举行 ju3xing2
损失 sun3shi1
自豪 zi4hao2
肚子 du4zi5
不仅 bu4jin3
夏天 xia4tian1
饼干 bing3gan1
热情 re4qing2
国际 guo2ji4
仪式 yi2shi4
成熟 cheng2shu2
混乱 hun4luan4
联络 lian2luo4
癌症 ai2zheng4
爵士 jue2shi4
骨头 gu3tou5
送给 song4gei3
海军 hai3jun1
第五 di4wu3
假如 jia3ru2
结局 jie2ju2
竞争 jing4zheng1
车祸 che1huo4
早晨 zao3chen2
微笑 wei1xiao4
电梯 dian4ti1
左边 zuo3bian5
礼拜 li3bai4
欺骗 qi1pian4
拍照 pai1zhao4
穿过 chuan1guo4
非洲 fei1zhou1
人质 ren2zhi4
扮演 ban4yan3
姿势 zi1shi4
宇宙 yu3zhou4
卧室 wo4shi4
远离 yuan3li2
剧本 ju4ben3
请问 qing3wen4
辞职 ci2zhi2
钱包 qian2bao1
诚实 cheng2shi2
贱人 jian4ren2
粉丝 fen3si1
搜索 sou1suo3
工厂 gong1chang3
手段 shou3duan4
农场 nong2chang3
网络 wang3luo4
毛病 mao2bing4
交流 jiao1liu2
辩护 bian4hu4
嫌犯 xian2fan4
行李 xing2li5
玛丽 ma3li4
宁愿 ning4yuan4
隐瞒 yin3man2
悲伤 bei1shang1
尖叫 jian1jiao4
小丑 xiao3chou3
年龄 nian2ling2
交换 jiao1huan4
符合 fu2he2
思想 si1xiang3
唱片 chang4pian4
骑士 qi2shi4
针对 zhen1dui4
领导 ling3dao3
共同 gong4tong2
洗澡 xi3zao3
稍微 shao1wei1
饮料 yin3liao4
海盗 hai3dao4
增加 zeng1jia1
牙齿 ya2chi3
渴望 ke3wang4
驾驶 jia4shi3
毁灭 hui3mie4
诅咒 zu3zhou4
眼神 yan3shen2
古怪 gu3guai4
财产 cai2chan3
辛苦 xin1ku3
水平 shui3ping2
发型 fa4xing2
吵架 chao3jia4
耐心 nai4xin1
风险 feng1xian3
沙发 sha1fa1
强奸 qiang2jian1
荒谬 huang1miu4
交往 jiao1wang3
嘲笑 chao2xiao4
避免 bi4mian3
禁止 jin4zhi3
持续 chi2xu4
游泳 you2yong3
猴子 hou2zi5
经济 jing1ji4
夫妇 fu1fu4
座位 zuo4wei4
牛奶 niu2nai3
逃走 tao2zou3
采取 cai3qu3
新娘 xin1niang2
购物 gou4wu4
绿色 lü4se4
抽烟 chou1yan1
航班 hang2ban1
嘴里 zui3li3
小镇 xiao3zhen4
精力 jing1li4
礼貌 li3mao4
胡说 hu2shuo1
指挥 zhi3hui1
强壮 qiang2zhuang4
对劲 dui4jin4
直播 zhi2bo1
宗教 zong1jiao4
蠢货 chun3huo4
坐牢 zuo4lao2
招呼 zhao1hu5
崩溃 beng1kui4
依然 yi1ran2
冲浪 chong1lang4
外套 wai4tao4
吓坏 xia4huai4
陷入 xian4ru4
俄国 e2guo2
便宜 bian4yi2
判断 pan4duan4
丹尼 dan1ni2
奶酪 nai3lao4
深刻 shen1ke4
光临 guang1lin2
衬衫 chen4shan1
摧毁 cui1hui3
胳膊 ge1bo5
他人 ta1ren2
异常 yi4chang2
疾病 ji2bing4
证词 zheng4ci2
森林 sen1lin2
强迫 qiang3po4
手臂 shou3bi4
豁免 huo4mian3
百万 bai3wan4
呼叫 hu1jiao4
背景 bei4jing3
西德 xi1de2
沮丧 ju3sang4
模仿 mo2fang3
灾难 zai1nan4
采访 cai3fang3
网站 wang3zhan4
凶器 xiong1qi4
成绩 cheng2ji4
强烈 qiang2lie4
殿下 dian4xia4
上课 shang4ke4
荣誉 rong2yu4
违反 wei2fan3
阶段 jie1duan4
牛仔 niu2zai3
尼克 ni2ke4
技巧 ji4qiao3
中央 zhong1yang1
频道 pin2dao4
屋顶 wu1ding3
起床 qi3chuang2
兔子 tu4zi5
形象 xing2xiang4
绳子 sheng2zi5
圣经 sheng4jing1
阿姨 a1yi2
安娜 an1na4
倒霉 dao3mei2
胸部 xiong1bu4
忠诚 zhong1cheng2
走廊 zou3lang2
当初 dang1chu1
安慰 an1wei4
系列 xi4lie4
肌肉 ji1rou4
震惊 zhen4jing1
娱乐 yu2le4
反抗 fan3kang4
噩梦 e4meng4
掩护 yan3hu4
经典 jing1dian3
图书馆 tu2shu1guan3
死刑 si3xing2
进步 jin4bu4
亨利 heng1li4
苹果 ping2guo3
南方 nan2fang1
浴室 yu4shi4
障碍 zhang4ai4
敏感 min3gan3
打破 da3po4
马克 ma3ke4
遵守 zun1shou3
维持 wei2chi2
营地 ying2di4
打扫 da3sao3
希腊 xi1la4
花园 hua1yuan2
四处 si4chu4
订婚 ding4hun1
厌倦 yan4juan4
冰箱 bing1xiang1
万岁 wan4sui4
出卖 chu1mai4
钢琴 gang1qin2
女郎 nü3lang2
复仇 fu4chou2
篮球 lan2qiu2
登记 deng1ji4
诊所 zhen3suo3
材料 cai2liao4
揭晓 jie1xiao3
昏迷 hun1mi2
讽刺 feng3ci4
凌晨 ling2chen2
侮辱 wu3ru3
海岸 hai3an4
晋级 jin4ji2
暴露 bao4lu4
绅士 shen1shi4
虫子 chong2zi5
地盘 di4pan2
抓紧 zhua1jin3
鸡蛋 ji1dan4
残忍 can2ren3
沉默 chen2mo4
详细 xiang2xi4
严肃 yan2su4
探长 tan4zhang3
仓库 cang1ku4
配合 pei4he2
称呼 cheng1hu5
刚好 gang1hao3
补偿 bu3chang2
忏悔 chan4hui3
犹太 you2tai4
蜘蛛 zhi1zhu1
狗屁 gou3pi4
汉堡 han4bao3
演奏 yan3zou4
富有 fu4you3
封面 feng1mian4
赚钱 zhuan4qian2
周六 zhou1liu4
城堡 cheng2bao3
降落 jiang4luo4
按摩 an4mo2
疑犯 yi2fan4
奴隶 nu2li4
乡村 xiang1cun1
肩膀 jian1bang3
宣传 xuan1chuan2
奖励 jiang3li4
买卖 mai3mai4
膝盖 xi1gai4
隔壁 ge2bi4
闯进 chuang3jin4
沙漠 sha1mo4
凯文 kai3wen2
等于 deng3yu2
入侵 ru4qin1
出席 chu1xi2
舌头 she2tou5
胖子 pang4zi5
项链 xiang4lian4
虐待 nüe4dai4
预约 yu4yue1
薪水 xin1shui3
哈里 ha1li3
理智 li3zhi4
封锁 feng1suo3
诉讼 su4song4
玉米 yu4mi3
宠物 chong3wu4
职位 zhi2wei4
黄色 huang2se4
支援 zhi1yuan2
限制 xian4zhi4
找回 zhao3hui2
肮脏 ang1zang1
善良 shan4liang2
友谊 you3yi4
王八 wang2ba1
智慧 zhi4hui4
漫画 man4hua4
莎拉 sha1la1
囚犯 qiu2fan4
气氛 qi4fen1
批准 pi1zhun3
脾气 pi2qi5
碎片 sui4pian4
逃脱 tao2tuo1
策略 ce4lüe4
编辑 bian1ji2
流氓 liu2mang2
馅饼 xian4bing3
懂得 dong3de5
温柔 wen1rou2
皇后 huang2hou4
鼓励 gu3li4
读书 du2shu1
消防 xiao1fang2
树林 shu4lin2
利益 li4yi4
地铁 di4tie3
询问 xun2wen4
销售 xiao1shou4
平衡 ping2heng2
鲨鱼 sha1yu2
接吻 jie1wen3
乘客 cheng2ke4
人群 ren2qun2
阴谋 yin1mou2
喉咙 hou2long2
措施 cuo4shi1
瞄准 miao2zhun3
荒唐 huang1tang2
调整 tiao2zheng3
审讯 shen3xun4
康复 kang1fu4
策划 ce4hua4
费用 fei4yong4
弥补 mi2bu3
连接 lian2jie1
包裹 bao1guo3
来源 lai2yuan2
地毯 di4tan3
扔掉 reng1diao4
裸体 luo3ti3
陷阱 xian4jing3
伪装 wei3zhuang1
宴会 yan4hui4
委托 wei3tuo1
白宫 bai2gong1
散步 san4bu4
化妆 hua4zhuang1
卑鄙 bei1bi3
宽恕 kuan1shu4
代替 dai4ti4
干脆 gan1cui4
脆弱 cui4ruo4
争霸 zheng1ba4
温暖 wen1nuan3
珠宝 zhu1bao3
出版 chu1ban3
玫瑰 mei2gui1
崇拜 chong2bai4
效劳 xiao4lao2
搬家 ban1jia1
缺乏 que1fa2
欲望 yu4wang4
连环 lian2huan2
蜜蜂 mi4feng1
夸张 kua1zhang1
专辑 zhuan1ji2
修好 xiu1hao3
祖母 zu3mu3
老爹 lao3die1
企图 qi3tu2
雇佣 gu4yong1
晓得 xiao3de5
生涯 sheng1ya2
领袖 ling3xiu4
小偷 xiao3tou1
挣扎 zheng1zha2
英寸 ying1cun4
推荐 tui1jian4
骚扰 sao1rao3
收养 shou1yang3
难堪 nan2kan1
硬币 ying4bi4
汇报 hui4bao4
