我 wo3  "戈 ge1, 弋 yi4" 0 "我们 我国 自我 我方" "我 wo3 i; me; my
我们 wo3men5 we; us; ourselves; our
就 jiu4 㠇僦咎鹫疚桕柩救舅臼旧厩 "京 jing1, 尤 you2, 亠 tou2, 口 kou3, 小 xiao3, 八 ba1, 尢 wang1" 20 "就是 就要 早就 就算" "就 jiu4 (after a suppositional clause) in that case; then; (after a clause of action) as soon as; immediately after; nothing else but; simply; just; precisely; exactly; only; as little as; as much as; as many as; to approach; to move towards; to undertake; to engage in; (of food) to go with; with regard to; concerning
就是 jiu4shi4 exactly; precisely; only; simply; just; even if
就要 jiu4yao4 will; shall; to be going to
早就 zao3jiu4 already at an earlier time
就算 jiu4suan4 (coll.) even if"
什 shen2 𬬹神 "十 shi2" 21 "什么 为什么 没什么 干什么" "什 shen2 what
什么 shen2me5 what?; something; anything
为什么 wei4shen2me5 why?; for what reason?
没什么 mei2shen2me5 nothing; it doesn't matter; it's nothing; never mind
干什么 gan4shen2me5 what are you doing?; what's he up to?"
没 mei2 煤湄眉枚瑂郿嵋媒鹛楣莓镅梅玫糜霉酶 "氵 shui3, 殳 shu1, ㇀ ti2, 又 you4" 22 "没什么 没想到 没事 没了" "没 mei2 (negative prefix for verbs) have not; not
没什么 mei2shen2me5 nothing; it doesn't matter; it's nothing; never mind
没想到 mei2xiang3dao4 didn't expect
没事 mei2shi4 it's not important; it's nothing; never mind; to have nothing to do; to be free; to be all right (out of danger or trouble)
没了 mei2le5 to be dead; not to be, or cease to exist"
到 dao4 纛稻盗道悼 "至 zhi4, 刂 dao1, 土 tu3, 厶 si1, 十 shi2" 23 "看到 到了 得到 感到" "到 dao4 to reach; to arrive; to leave for; to go to; to (a place); until (a time); up to (a point); (verb complement indicating arriving at a place or reaching a point); considerate; thoughtful; thorough
看到 kan4dao4 to see
到了 dao4liao3 at last; finally; in the end
得到 de2dao4 to get; to obtain; to receive
感到 gan3dao4 to feel; to sense; to perceive"
说 shuo1  "讠 yan2, 兑 dui4, 兄 xiong1, 口 kou3, 儿 er2" 24 "说话 说明 小说 听说" "说 shuo1 to speak; to talk; to say; to explain; to comment; to scold; to tell off; (bound form) theory; doctrine
说话 shuo1hua4 to speak; to say; to talk; to gossip; to tell stories; talk; word
说明 shuo1ming2 to explain; to illustrate; to indicate; to show; to prove; explanation; directions; caption
小说 xiao3shuo1 novel; fiction
听说 ting1shuo1 to hear (sth said); one hears (that); hearsay; listening and speaking"
吗 ma2 蟆麻 "口 kou3, 马 ma3" 25  "吗 ma2 (coll.) what?"
为 wei2 惟桅涠洈围潍韦帏沩𣲗琟𬶏嵬峗维唯帷圩违闱 "力 li4" 26 "为了 认为 为什么 成为" "为 wei4 because of; for; to
为了 wei4le5 for; for the purpose of; in order to
认为 ren4wei2 to believe; to think; to consider; to feel
为什么 wei4shen2me5 why?; for what reason?
成为 cheng2wei2 to become; to turn into"
想 xiang3 鲞飨享响饷 "相 xiang1, 心 xin1, 木 mu4, 目 mu4, 十 shi2, 囗 wei2" 27 "不想 思想 想到 想起" "想 xiang3 to think (about); to think of; to devise; to think (that); to believe (that); to desire; to want (to); to miss (feel wistful about the absence of)
不想 bu4xiang3 unexpectedly
思想 si1xiang3 thought; thinking; idea; ideology
想到 xiang3dao4 to think of; to call to mind; to anticipate
想起 xiang3qi3 to recall; to think of; to call to mind"
能 neng2  "厶 si1, 月 yue4, 匕 bi3" 28 "不能 可能 能够 只能" "能 neng2 can; to be able to; might possibly; ability; (physics) energy
不能 bu4neng2 cannot; must not; should not
可能 ke3neng2 might (happen); possible; probable; possibility; probability; maybe; perhaps
能够 neng2gou4 to be capable of; to be able to; can
只能 zhi3neng2 can only; obliged to do sth; to have no other choice"
上 shang4 绱尚  29 "晚上 身上 以上 马上" "上 shang4 (bound form) up; upper; above; previous; first (of multiple parts); to climb; to get onto; to go up; to attend (class or university); (directional complement) up; (noun suffix) on; above
晚上 wan3shang5 evening; night; in the evening
身上 shen1shang5 on the body; at hand; among
以上 yi3shang4 that level or higher; that amount or more; the above-mentioned; (used to indicate that one has completed one's remarks) that is all.
马上 ma3shang4 at once; right away; immediately; on horseback (i.e. by military force)"
去 qu4 阒趣觑 "土 tu3, 厶 si1, 十 shi2" 30 "过去 回去 去年 失去" "去 qu4 to go; to go to (a place); (of a time etc) last; just passed; to send; to remove; to get rid of; to reduce; to be apart from in space or time; to die (euphemism); to play (a part); (when used either before or after a verb) to go in order to do sth; (after a verb of motion indicates movement away from the speaker); (used after certain verbs to indicate detachment or separation)
过去 guo4qu5 (verb suffix)
回去 hui2qu5 to return; to go back
去年 qu4nian2 last year
失去 shi1qu4 to lose"
道 dao4 悼纛稻到盗 "辶 chuo4, 首 shou3, 自 zi4, 目 mu4, 囗 wei2" 31 "报道 说道 难道 味道" "道 dao4 road; path; principle; truth; morality; reason; skill; method; dao (of daoism); to say; to speak; to talk; classifier for long thin things (rivers, cracks etc), barriers (walls, doors etc), questions (in an exam etc), commands, courses in a meal, steps in a process
报道 bao4dao4 to report (news); report
说道 shuo1dao5 to discuss; reason (behind sth)
难道 nan2dao4 don't tell me ...; could it be that...?
味道 wei4dao5 flavor; smell; hint of"
她 ta1 它趿褟铊溻遢塌他 "女 nü3, 也 ye3, 乜 mie1" 32 她们 "她 ta1 she
她们 ta1men5 they; them (for females)"
很 hen3 𬣳狠 "彳 chi4, 艮 gen3" 33  "很 hen3 (adverb of degree); quite; very; awfully"
看 kan4 衎崁墈磡瞰阚 "目 mu4, 囗 wei2" 34 "看到 看来 查看 好看" "看 kan4 to see; to look at; to read; to watch; to visit; to call on; to consider; to regard as; to look after; to treat (an illness); to depend on; to feel (that); (after verb) to give it a try
看到 kan4dao4 to see
看来 kan4lai5 apparently; it seems that
查看 cha2kan4 to look over; to examine; to check up; to ferret out
好看 hao3kan4 good-looking; nice-looking; good (of a movie, book, tv show etc); embarrassed; humiliated"
可 ke3 炣渴岢 "丁 ding1, 口 kou3" 35 "可以 可能 可是 不可" "可 ke3 can; may; able to; to approve; to permit; to suit; (particle used for emphasis) certainly; very
可以 ke3yi3 can; may; possible; able to; not bad; pretty good
可能 ke3neng2 might (happen); possible; probable; possibility; probability; maybe; perhaps
可是 ke3shi4 but; however; (used for emphasis) indeed
不可 bu4ke3 cannot; should not; must not"
知 zhi1 芝泜织栀胝蜘榰稙𦭜禔枝卮肢之支脂祗汁吱 "矢 shi3, 口 kou3, 𠂉 jiu3, 大 da4, 人 ren2" 36 "不知 知识 通知 得知" "知 zhi1 to know; to be aware
不知 bu4zhi1 not to know; unaware; unknowingly; fig. not to admit (defeat, hardships, tiredness etc)
知识 zhi1shi5 knowledge; intellectual
通知 tong1zhi1 to notify; to inform; notice; notification
得知 de2zhi1 to find out; to learn of"
得 de2 锝德 "彳 chi4, 旦 dan4, 寸 cun4, 日 ri4, 囗 wei2" 37 "觉得 得到 记得 获得" "得 de5 structural particle: used after a verb (or adjective as main verb), linking it to following phrase indicating effect, degree, possibility etc
觉得 jue2de5 to think that ...; to feel that ...; to feel (uncomfortable etc)
得到 de2dao4 to get; to obtain; to receive
记得 ji4de5 to remember
获得 huo4de2 to obtain; to receive; to get"
过 guo4  "辶 chuo4, 寸 cun4" 38 "不过 过去 通过 过程" "过 guo4 to cross; to go over; to pass (time); to celebrate (a holiday); to live; to get along; excessively; too-
不过 bu4guo4 only; merely; no more than; but; however; anyway (to get back to a previous topic); cannot be more (after adjectival)
过去 guo4qu5 (verb suffix)
通过 tong1guo4 to pass through; to get through; to adopt (a resolution); to pass (legislation); to pass (a test); by means of; through; via
过程 guo4cheng2 course of events; process"
吧 ba1 扒疤羓鲃朳八蚆捌岜巴叭粑芭笆 "口 kou3, 巴 ba1, 巳 si4" 39 "酒吧 吧嗒 吧唧" "吧 ba5 (modal particle indicating suggestion or surmise); ...right?; ...ok?; ...i presume.
酒吧 jiu3ba1 bar; pub; saloon
吧嗒 ba1da5 to smack one's lips; to pull (on a pipe)
吧唧 ba1ji5 to smack one's lips"
还 huan2 𤩽锾圜鬟缳桓荁貆寰澴洹𬘫峘环镮鹮郇萑 "辶 chuo4, 不 bu4" 40 "还是 还有 还给 还原" "还 hai2 still; still in progress; still more; yet; even more; in addition; fairly; passably (good); as early as; even; also; else
还是 hai2shi5 still (as before); had better; unexpectedly; or
还有 hai2you3 furthermore; in addition; still; also
还给 huan2gei3 to return sth to sb
还原 huan2yuan2 to restore to the original state; to reconstruct (an event); reduction (chemistry)"
对 dui4 祋碓兑队怼 "又 you4, 寸 cun4" 41 "对于 面对 对方 绝对" "对 dui4 right; correct; towards; at; for; concerning; regarding; to treat (sb a certain way); to face; (bound form) opposite; facing; matching; to match together; to adjust; to fit; to suit; to answer; to reply; to add; to pour in (a fluid); to check; to compare; classifier: couple; pair
对于 dui4yu2 regarding; as far as (sth) is concerned; with regard to
面对 mian4dui4 to face; to confront
对方 dui4fang1 the other person; the other side; the other party
绝对 jue2dui4 absolute; unconditional"
里 li3 醴澧鲤浬李逦娌理俚鳢礼锂 "田 tian2, 土 tu3, 囗 wei2, 十 shi2" 42 "这里 心里 家里 公里" "里 li3 lining; interior; inside; internal; li (surname); neighborhood
这里 zhe4li3 here
心里 xin1li5 chest; heart; mind
家里 jia1li3 home
公里 gong1li3 kilometer"
以 yi3 𫖮乙𬺈椅倚钇酏踦旖舣扆已矣佁蚁苡 "人 ren2" 43 "可以 所以 以后 以及" "以 yi3 to use; by means of; according to; in order to; because of; at (a certain date or place)
可以 ke3yi3 can; may; possible; able to; not bad; pretty good
所以 suo3yi3 therefore; as a result; so; the reason why
以后 yi3hou4 after; later; afterwards; following; later on; in the future
以及 yi3ji2 as well as; too; and"
都 du1 督厾阇嘟 "者 zhe3, 日 ri4, 土 tu3, 十 shi2, 囗 wei2" 44 "都会 全都 首都 都市" "都 dou1 all; both; entirely; (used for emphasis) even; already; (not) at all
都会 du1hui4 city; metropolis
全都 quan2dou1 all; without exception
首都 shou3du1 capital (city)
都市 du1shi4 city; metropolis"
事 shi4 视铈噬拭是媞嗜奭栻仕式世筮恃䏡舐市逝适弑氏试𬤊谥 "口 kou3" 45 "事情 故事 事件 事业" "事 shi4 matter; thing; item; work; affair
事情 shi4qing5 affair; matter; thing; business
故事 gu4shi5 narrative; story; tale
事件 shi4jian4 event; happening; incident
事业 shi4ye4 undertaking; project; activity; (charitable, political or revolutionary) cause; publicly funded institution, enterprise or foundation; career; occupation"
子 zi3 紫訾籽笫虸耔滓秭姊梓 "了 le5" 46 "孩子 儿子 样子 房子" "子 zi5 (noun suffix)
孩子 hai2zi5 child
儿子 er2zi5 son
样子 yang4zi5 appearance; manner; pattern; model
房子 fang2zi5 house; building (single- or two-story); apartment; room"
生 sheng1 笙昇牲升陞声甥 "𠂉 jiu3, 土 tu3, 十 shi2" 47 "学生 生活 发生 先生" "生 sheng1 to be born; to give birth; life; to grow; raw; uncooked; student
学生 xue2sheng5 student; schoolchild
生活 sheng1huo2 to live; life; livelihood
发生 fa1sheng1 to happen; to occur; to take place; to break out
先生 xian1sheng5 teacher; gentleman; sir; mister (mr.); husband"
时 shi2 拾食祏鼫炻识湜鲥埘实石莳十蚀 "日 ri4, 寸 cun4, 囗 wei2" 48 "时候 时间 当时 同时" "时 shi2 o'clock; time; when; hour; season; period
时候 shi2hou5 time; length of time; moment; period
时间 shi2jian1 time; period
当时 dang1shi2 then; at that time; while
同时 tong2shi2 at the same time; simultaneously"
样 yang4 恙怏羕漾 "木 mu4, 羊 yang2, 十 shi2, 二 er4" 49 "这样 一样 那样 样子" "样 yang4 manner; pattern; way; appearance; shape; classifier: kind, type
这样 zhe4yang4 this kind of; so; this way; like this; such
一样 yi1yang4 same; like; equal to; the same as; just like
那样 na4yang4 that kind; that sort
样子 yang4zi5 appearance; manner; pattern; model"
也 ye3 冶野 "乜 mie1" 50 "也许 再也 也好 也罢" "也 ye3 (adverb) also; both ... and ... (before predicates only)
也许 ye3xu3 perhaps; maybe
再也 zai4ye3 (not) any more
也好 ye3hao3 that's fine; may as well; (reduplicated) regardless of whether ... or ...
也罢 ye3ba4 (reduplicated) whether... or...; never mind; fine (indicating acceptance or resignation)"
和 he2 鹖翮河𬌗龢颌曷龁禾盍阂劾郃盉核荷纥鞨菏何合涸饸盒 "禾 he2, 口 kou3, 木 mu4, 十 shi2" 51 "和平 和谐 温和 平和" "和 he2 (joining two nouns) and; together with; (math.) sum; to make peace; (sports) to draw; to tie; (bound form) harmonious; harmonious
和平 he2ping2 peace; peaceful
和谐 he2xie2 harmonious; harmony; (euphemism) to censor
温和 wen1he2 mild; gentle; moderate
平和 ping2he2 gentle; mild; moderate; placid"
下 xia4 罅吓夏 "卜 bu3" 52 "下来 下午 留下 以下" "下 xia4 down; downwards; below; lower; later; next (week etc); second (of two parts); to decline; to go down; to arrive at (a decision, conclusion etc); measure word to show the frequency of an action
下来 xia4lai5 to come down; (completed action marker); (after verb of motion, indicates motion down and towards us, also fig.); (indicates continuation from the past towards us); to be harvested (of crops); to be over (of a period of time); to go among the masses (said of leaders)
下午 xia4wu3 afternoon; p.m.
留下 liu2xia4 to leave behind; to stay behind; to remain; to keep; not to let (sb) go
以下 yi3xia4 that level or lower; that amount or less; the following"
真 zhen1 斟浈侦臻胗帧禛葴蓁瑧砧桢箴针珍甄祯贞榛 "十 shi2, 具 ju4, 三 san1, 八 ba1, 二 er4" 53 "真正 认真 真实 真相" "真 zhen1 really; truly; indeed; real; true; genuine
真正 zhen1zheng4 genuine; real; true; really; indeed
认真 ren4zhen1 conscientious; earnest; serious; to take seriously; to take to heart
真实 zhen1shi2 true; real
真相 zhen1xiang4 the truth about sth; the actual facts"
现 xian4 𪾢宪𬀪献缐岘陷腺霰苋线馅羡限县 "见 jian4, 十 shi2, ㇀ ti2, 儿 er2" 54 "现在 发现 出现 表现" "现 xian4 to appear; present; now; existing; current
现在 xian4zai4 now; at present; at the moment; modern; current; nowadays
发现 fa1xian4 to notice; to become aware of; to discover; to find; to detect; a discovery
出现 chu1xian4 to appear; to arise; to emerge; to show up
表现 biao3xian4 to show; to show off; to display; to manifest; expression; manifestation; show; display; performance (at work etc); behavior"
做 zuo4 作唑怍岞阼酢座祚坐胙 "故 gu4, 古 gu3, 攵 pu1, 十 shi2, 口 kou3, 𠂉 jiu3, 乂 yi4" 55 "做到 做出 叫做 做饭" "做 zuo4 to make; to produce; to write; to compose; to do; to engage in; to hold (a party etc); (of a person) to be (an intermediary, a good student etc); to become (husband and wife, friends etc); (of a thing) to serve as; to be used for; to assume (an air or manner)
做到 zuo4dao4 to accomplish; to achieve
做出 zuo4chu1 to put out; to issue
叫做 jiao4zuo4 to be called; to be known as
做饭 zuo4fan4 to prepare a meal; to cook"
大 da4  "人 ren2" 56 "大家 大学 大概 大陆" "大 da4 big; large; great; older (than another person); greatly; freely; fully
大家 da4jia1 everyone; influential family; great expert
大学 da4xue2 university; college
大概 da4gai4 roughly; probably; rough; approximate; about; general idea
大陆 da4lu4 mainland china (reference to the prc); continent; mainland"
啊 a1 吖阿锕 "口 kou3, 阿 a1, 可 ke3, 丁 ding1" 57 啊呀 "啊 a5 modal particle ending sentence, showing affirmation, approval, or consent
啊呀 a1ya1 interjection of surprise"
怎 zen3  "乍 zha4, 心 xin1, 𠂉 jiu3, 二 er4" 58 "怎么 怎样 怎么样 怎么办" "怎 zen3 how
怎么 zen3me5 how?; what?; why?
怎样 zen3yang4 how; what kind
怎么样 zen3me5yang4 how?; how about?; how was it?; how are things?
怎么办 zen3me5ban4 what's to be done"
出 chu1 摴䝙樗初䢺 "屮 che4, 凵 kan3" 59 "出现 提出 出版 发出" "出 chu1 to go out; to come out; to occur; to produce; to go beyond; to rise; to put forth; to happen; (used after a verb to indicate an outward direction or a positive result); classifier for dramas, plays, operas etc
出现 chu1xian4 to appear; to arise; to emerge; to show up
提出 ti2chu1 to raise (an issue); to propose; to put forward; to suggest; to post (on a website); to withdraw (cash)
出版 chu1ban3 to publish
发出 fa1chu1 to issue (an order, decree etc); to send out; to dispatch; to produce (a sound); to let out (a laugh)"
点 dian3 典踮丶碘 "占 zhan4, 灬 huo3, 口 kou3" 60 "有点 观点 重点 特点" "点 dian3 point; dot; drop; speck; o'clock; point (in space or time); to draw a dot; to check on a list; to choose; to order (food in a restaurant); to touch briefly; to hint; to light; to ignite; to pour a liquid drop by drop; dot stroke in chinese characters; classifier for items
有点 you3dian3 a little
观点 guan1dian3 point of view; viewpoint; standpoint
重点 zhong4dian3 important point; main point; focus; key (project etc); to focus on; to put the emphasis on
特点 te4dian3 characteristic (feature); trait; feature"
起 qi3 婍屺芑杞玘乞启岂棨企绮 "走 zou3, 巳 si4, 土 tu3, 十 shi2, 人 ren2" 61 "起来 一起 想起 引起" "起 qi3 to rise; to raise; to get up; to set out; to start; to appear; to launch; to initiate (action); to draft; to establish; to get (from a depot or counter); verb suffix, to start; starting from (a time, place, price etc); classifier for occurrences or unpredictable events: case, instance; classifier for groups: batch, group
起来 qi3lai5 to stand up; to get up
一起 yi1qi3 in the same place; together; with; altogether (in total)
想起 xiang3qi3 to recall; to think of; to call to mind
引起 yin3qi3 to give rise to; to lead to; to cause; to arouse"
天 tian1 黇添 "大 da4, 人 ren2" 62 "今天 每天 昨天 那天" "天 tian1 day; sky; heaven
今天 jin1tian1 today; at the present; now
每天 mei3tian1 every day; everyday
昨天 zuo2tian1 yesterday
那天 na4tian1 that day; the other day"
把 ba3 钯靶 "扌 shou3, 巴 ba1, ㇀ ti2, 巳 si4" 63 "把握 个把 把戏 火把" "把 ba3 to hold; to grasp; to hold a baby in position to help it urinate or defecate; handlebar; classifier: handful, bundle, bunch; classifier for things with handles
把握 ba3wo4 to grasp (also fig.); to seize; to hold; assurance; certainty; sure (of the outcome)
个把 ge4ba3 one or two; a couple of
把戏 ba3xi4 acrobatics; jugglery; trick; ploy
火把 huo3ba3 torch"
开 kai1 锎揩 "廾 gong3, 十 shi2" 64 "开始 离开 打开 开心" "开 kai1 to open; to start; to turn on; to boil; to write out (a prescription, check, invoice etc); to operate (a vehicle); carat (gold)
开始 kai1shi3 to begin; beginning; to start; initial
离开 li2kai1 to depart; to leave
打开 da3kai1 to open; to show (a ticket); to turn on; to switch on
开心 kai1xin1 to feel happy; to rejoice; to have a great time; to make fun of sb"
让 rang4  "讠 yan2, 上 shang4" 65 "转让 让步 让开 让座" "让 rang4 to yield; to permit; to let sb do sth; to have sb do sth; to make sb (feel sad etc)
转让 zhuan3rang4 to transfer (ownership, rights etc)
让步 rang4bu4 to concede; to give in; to yield; a concession; (linguistics) concessive
让开 rang4kai1 to get out of the way; to step aside
让座 rang4zuo4 to give up one's seat for sb"
给 gei3  "纟 si1, 合 he2, ㇀ ti2, 口 kou3, 人 ren2" 66 "交给 送给 给予 递给" "给 gei3 to; for; for the benefit of; to give; to allow; to do sth (for sb); (sentence intensifier)
交给 jiao1gei3 to give; to deliver; to hand over
送给 song4gei3 to send; to give as a present
给予 ji3yu3 to accord; to give; to show (respect)
递给 di4gei3 to hand it (i.e. the aforementioned item) to (sb)"
但 dan4 氮旦疍憺啖弹𫢸萏膻蛋淡澹诞惮 "旦 dan4, 日 ri4, 囗 wei2" 67 "但是 不但 但愿 非但" "但 dan4 but; yet; however; still; merely; only; just
但是 dan4shi4 but; however
不但 bu4dan4 not only (... but also ...)
但愿 dan4yuan4 if only (sth were possible); i wish (that)
非但 fei1dan4 not only"
谢 xie4 懈邂蟹獬偰𬹼渫薢澥𤫉泻榍廨卸亵绁躞榭泄械燮薤屑瀣 "讠 yan2, 射 she4, 身 shen1, 寸 cun4" 68 "谢谢 感谢 多谢 谢绝" "谢 xie4 to thank; to apologize; (of flowers, leaves etc) to wither; to decline
谢谢 xie4xie5 to thank; thanks; thank you
感谢 gan3xie4 (express) thanks; gratitude; grateful; thankful; thanks
多谢 duo1xie4 many thanks; thanks a lot
谢绝 xie4jue2 to refuse politely"
着 zhe5  "目 mu4, 囗 wei2" 69 "接着 随着 跟着 穿着" "着 zhe5 aspect particle indicating action in progress
接着 jie1zhe5 to catch and hold on; to continue; to go on to do sth; to follow; to carry on; then; after that; subsequently; to proceed; to ensue; in turn; in one's turn
随着 sui2zhe5 along with; in the wake of; following
跟着 gen1zhe5 to follow after; immediately afterwards
穿着 chuan1zhuo2 attire; clothes; dress"
