的 de
了 le
人家 ren2jia5 "other people; sb else; he, she or they"
啊 a
工人 gong1ren5
人工 ren2gong1 "artificial; manpower; manual work"
工作 gong1zuo4 "to work; (of a machine) to operate; job; work; task"
作家 zuo4jia1 author
作用 zuo4yong4 "to act on; to affect; action; function; activity; impact; result; effect; purpose; intent"
作为 zuo4wei2 "one's conduct; deed; activity; accomplishment; achievement; to act as; as (in the capacity of); qua; to view as; to look upon (sth as); to take sth to be"
工作日 gong1zuo4ri4
看作 kan4zuo4 "to look upon as; to regard as"
作 zuo4 "to do; to engage in; to write; to compose; to pretend; to feign; to regard as; to consider to be; to be; to act the part of; to feel (itchy, nauseous etc); writings; works"
才 cai2 "ability; talent; sb of a certain type; a capable individual; then and only then; just now; (before an expression of quantity) only; (before an expression of quantity) only"
才能 cai2neng2 "talent; ability; capacity"
人才 ren2cai2 "talent; talented person; looks; attractive looks"
天才 tian1cai2 "talent; gift; genius; talented; gifted"
却 que4 "but; yet; however; while; to go back; to decline; to retreat; nevertheless; even though"
却是 que4shi4 "nevertheless; actually; the fact is ..."
向 xiang4 "towards; to face; to turn towards; direction; to support; to side with; shortly before; formerly; always; all along; (suffix) suitable for ...; oriented to ...; to tend toward; to guide; direction; orientation; to face; to turn toward; to; towards; shortly before; formerly"
向上 xiang4shang4 "upward; up; to advance; to try to improve oneself; to make progress"
一向 yi1xiang4 "always (previously); a period of time in the recent past"
所以 suo3yi3 "therefore; as a result; so; the reason why"
所有 suo3you3 "all; to have; to possess; to own"
所 suo3 "actually; place; classifier for houses, small buildings, institutions etc; that which; particle introducing a relative clause or passive"
所在 suo3zai4 "place; location; (after a noun) place where it is located"
所 suo3 "actually; place; classifier for houses, small buildings, institutions etc; that which; particle introducing a relative clause or passive"
新 xin1 "new; newly; meso- (chemistry)"
新年 xin1nian2 "new year"
更新 geng1xin1 "to replace the old with new; to renew; to renovate; to upgrade; to update; to regenerate"
新人 xin1ren2 "newcomer; fresh talent; newlywed, esp. new bride; bride and groom; (paleoanthropology) homo sapiens"
吃 chi1 "to eat; to consume; to eat at (a cafeteria etc); to eradicate; to destroy; to absorb; to suffer"
好吃 hao3chi1 "tasty; delicious"
小吃 xiao3chi1 "snack; refreshments"
开 kai1 "to open; to start; to turn on; to boil; to write out (a prescription, check, invoice etc); to operate (a vehicle); carat (gold)"
开会 kai1hui4 "to hold a meeting; to attend a meeting"
走开 zou3kai1 "to leave; to walk away; to beat it; to move aside"
元 yuan2 "currency unit (esp. chinese yuan); first; original; primary; fundamental; constituent; part; era (of a reign); meta- (prefix); (math.) argument; variable"
出来 chu1lai5
出 chu1 "to go out; to come out; to occur; to produce; to go beyond; to rise; to put forth; to happen; (used after a verb to indicate an outward direction or a positive result); classifier for dramas, plays, operas etc"
出去 chu1qu5
出国 chu1guo2 "to go abroad; to leave the country"
出现 chu1xian4 "to appear; to arise; to emerge; to show up"
得出 de2chu1 "to obtain (a result); to arrive at (a conclusion)"
作出 zuo4chu1 "to put out; to come up with; to make (a choice, decision, proposal, response, comment etc); to issue (a permit, statement, explanation, apology, reassurance to the public etc); to draw (conclusion); to deliver (speech, judgment); to devise (explanation); to extract"
看出 kan4chu1 "to make out; to see"
话 hua4 "dialect; language; spoken words; speech; talk; words; conversation; what sb said"
说话 shuo1hua4 "to speak; to say; to talk; to gossip; to tell stories; talk; word"
的话 dehua4
对话 dui4hua4 "to talk (with sb); dialogue; conversation"
话题 hua4ti2 "subject (of a talk or conversation); topic"
好像 hao3xiang4 "as if; to seem like"
像 xiang4 "to resemble; to be like; to look as if; such as; appearance; image; portrait; image under a mapping (math.)"
真 zhen1 "really; truly; indeed; real; true; genuine"
真的 zhen1de5
天真 tian1zhen1 "naive; innocent; artless"
事 shi4 "matter; thing; item; work; affair"
好事 hao3shi4 "charity; happy occasion"
从事 cong2shi4 "to go for; to engage in; to undertake; to deal with; to handle; to do"
大事 da4shi4 "major event; major political event (war or change of regime); major social event (wedding or funeral); (do sth) in a big way"
时事 shi2shi4 "current trends; the present situation; how things are going"
出事 chu1shi4 "to have an accident; to meet with a mishap"
事后 shi4hou4 "after the event; in hindsight; in retrospect"
有事 you3shi4 "to be occupied with sth; to have sth on one's mind; there is something the matter"
大学 da4xue2 "university; college"
上学 shang4xue2 "to go to school; to attend school"
小学 xiao3xue2 "elementary school; primary school"
学 xue2 "to learn; to study; to imitate; science; -ology"
中学 zhong1xue2 "middle school"
开学 kai1xue2 "foundation of a university or college; school opening; the start of a new term"
中小学 zhong1xiao3xue2
学年 xue2nian2 "academic year"
学时 xue2shi2 "class hour; period"
学问 xue2wen5
好学 hao4xue2 "eager to study; studious; erudite"
学会 xue2hui4 "to learn; to master; institute; learned society; (scholarly) association"
自学 zi4xue2 "self-study; to study on one's own"
大学生 da4xue2sheng1 "university student; college student"
生日 sheng1ri5
小学生 xiao3xue2sheng5
学生 xue2sheng5 "student; schoolchild"
中学生 zhong1xue2sheng1
出生 chu1sheng1 "to be born"
生 sheng1 "to be born; to give birth; life; to grow; raw; uncooked; student"
一生 yi1sheng1 "all one's life; throughout one's life"
人生 ren2sheng1 "life (one's time on earth)"
生 sheng1 "to be born; to give birth; life; to grow; raw; uncooked; student"
再生 zai4sheng1 "to be reborn; to regenerate; to be a second so-and-so (famous dead person); recycling; regeneration"
等于 deng3yu2 "to equal; to be tantamount to"
于是 yu2shi4 "thereupon; as a result; consequently; thus; hence"
在于 zai4yu2 "to be in; to lie in; to consist in; to depend on; to rest with"
出于 chu1yu2 "due to; to stem from"
大于 da4yu2 "greater than; bigger than; more than"
过于 guo4yu2 "too much; excessively"
用于 yong4yu2 "to use in; to use on; to use for"
小于 xiao3yu2
于 yu2 "to go; to take; sentence-final interrogative particle; (of time or place) in; at; on; (indicating any indirect relation) to; toward; with regard to; for; (indicating a source) from; out of"
或 huo4 "maybe; perhaps; might; possibly; or"
或是 huo4shi4 "or; either one or the other"
跟 gen1 "heel; to follow closely; to go with; (of a woman) to marry sb; with; compared with; to; towards; and (joining two nouns)"
并 bing4 "and; furthermore; also; together with; (not) at all; simultaneously; to combine; to join; to merge; to combine; to amalgamate"
第 di4 "(literary) grades in which successful candidates in the imperial examinations were placed; (literary) but; however; (literary) only; just"
当 dang1 "ding dong (bell); to be; to act as; manage; withstand; when; during; ought; should; match equally; equal; same; obstruct; just at (a time or place); on the spot; right; just at"
当时 dang1shi2 "then; at that time; while"
当地 dang1di4 local
当中 dang1zhong1 "among; in the middle; in the center"
当年 dang1nian2 "in those days; then; in those years; during that time"
当 dang1 "ding dong (bell); to be; to act as; manage; withstand; when; during; ought; should; match equally; equal; same; obstruct; just at (a time or place); on the spot; right; just at"
当天 dang1tian1 "on that day"
当作 dang4zuo4 "to treat as; to regard as"
上当 shang4dang4 "taken in (by sb's deceit); to be fooled; to be duped"
那些 na4xie1 those
一些 yi1xie1 "some; a few; a little; (following an adjective) slightly ...er"
有些 you3xie1 "some; somewhat"
这些 zhe4xie1 these
些 xie1 "classifier indicating a small amount or small number greater than 1: some, a few, several"
没事儿 mei2shi4
那儿 na4
一会儿 yi1hui4
一下儿 yi1xia4
一点儿 yi1dian3
这儿 er4
不一会儿 bu4yi1hui3
那会儿 na4hui4
一会儿 yi1hui4
有点儿 you3dian3
个儿 er
一下儿 yi1xia4
前 qian2 "front; forward; ahead; first; top (followed by a number); future; ago; before; former; formerly"
前天 qian2tian1 "the day before yesterday"
前年 qian2nian2 "the year before last"
以前 yi3qian2 "before; formerly; previous; ago"
从前 cong2qian2 "previously; formerly; once upon a time"
前后 qian2hou4 "around; from beginning to end; all around; front and rear"
之前 zhi1qian2 "before; prior to; ago; previously; beforehand"
当前 dang1qian2 "the present time; to be faced with"
跟前 gen1qian5 "(of children, parents etc) at one's side; living with one"
年前 nian2qian2 "by the end of the year; at the end of the year; shortly before new year"
向前 xiang4qian2 "forward; onward"
前来 qian2lai2 "to come (formal); before; previously"
觉得 jue2de5 "to think that ...; to feel that ...; to feel (uncomfortable etc)"
觉 jue2 "to feel; to find that; thinking; awake; aware"
怎么 zen3me5 "how?; what?; why?"
怎么样 zen3me5yang4 "how?; how about?; how was it?; how are things?"
怎样 zen3yang4 "how; what kind"
不怎么样 bu4zen3me5yang4
不怎么 bu4zen3me5
生活 sheng1huo2 "to live; life; livelihood"
活 huo2 "to live; alive; living; work; workmanship"
小孩儿 xiao3hai2
儿子 er2zi5 son
孩子 hai2zi5 child
子 zi
个子 ge4zi5 "height; stature; build; size"
日子 ri4zi5 "day; a (calendar) date; days of one's life"
样子 yang4zi5 "appearance; manner; pattern; model"
被子 bei4zi5 quilt
一下子 yi1xia4zi5 "in a short while; all at once; all of a sudden"
对不起 dui4bu5qi3 "i'm sorry; excuse me; i beg your pardon; to let (sb) down; to disappoint"
起来 qi3lai5 "to stand up; to get up"
起 qi3 "to rise; to raise; to get up; to set out; to start; to appear; to launch; to initiate (action); to draft; to establish; to get (from a depot or counter); verb suffix, to start; starting from (a time, place, price etc); classifier for occurrences or unpredictable events: case, instance; classifier for groups: batch, group"
一起 yi1qi3 "in the same place; together; with; altogether (in total)"
想起 xiang3qi3 "to recall; to think of; to call to mind"
起到 qi3dao4 "to play (a (stabilizing etc) role)"
看得起 kan4de5qi3
起点 qi3dian3 "starting point"
有名 you3ming2 "famous; well-known"
名 ming2 "name; noun (part of speech); place (e.g. among winners); famous; classifier for people"
出名 chu1ming2 "well-known for sth; to become well known; to make one's mark; to lend one's name (to an event, endeavor etc)"
地名 di4ming2 "place name; toponym"
好听 hao3ting1 "pleasant to hear"
听到 ting1dao4 "to hear"
听 ting1 "to listen to; to hear; to heed; to obey; classifier for canned beverages; to let be; (literary) to administer"
听说 ting1shuo1 "to hear (sth said); one hears (that); hearsay; listening and speaking"
叫 jiao4 "to shout; to call; to order; to ask; to be called; by (indicates agent in the passive mood)"
叫作 jiao4zuo4 "to call; to be called"
本 ben3 "root; stem; origin; source; this; the current; original; inherent; originally; classifier for books, periodicals, files etc"
本子 ben3zi5 "book; notebook; edition"
本来 ben3lai2 "original; originally; at first; it goes without saying; of course"
本事 ben3shi5 "ability; skill"
本人 ben3ren2 "i; me; myself; oneself; yourself; himself; herself; the person concerned"
本 ben3 "root; stem; origin; source; this; the current; original; inherent; originally; classifier for books, periodicals, files etc"
本地 ben3di4 "local; this locality"
本能 ben3neng2 instinct
本着 ben3zhe5 "based on...; in conformance with..; taking as one's main principle"
比 bi3 "belgium; belgian; to compare; ratio; to gesture"
比如说 bi3ru2shuo1 "for example"
比如 bi3ru2 "for example; for instance; such as"
比不上 bi3bu4shang4
