椅子 chair
融合 "a mixture; an amalgam; fusion; welding together; to be in harmony with (nature); to harmonize with; to fit in"
融入 "to blend into; to integrate; to assimilate; to merge"
融化 "to melt; to thaw; to dissolve; to blend into; to combine; to fuse"
阴影 "(lit. and fig.) shadow"
阴谋 "plot; conspiracy"
阴茎 penis
固定 "to fix; to fasten; to set rigidly in place; fixed; set; regular"
固然 "admittedly (it's true that...)"
巩固 "to consolidate; consolidation; to strengthen"
凝固 "to freeze; to solidify; to congeal; fig. with rapt attention"
哲 "wise; a sage"
哲学 philosophy
哲理 "philosophic theory; philosophy"
沟 "ditch; gutter; groove; gully; ravine"
沟通 "to join; to connect; to link up; to communicate"
漫长 "very long; endless"
弥漫 "to pervade; to fill the air; diffuse; everywhere present; about to inundate (water); permeated by (smoke); filled with (dust); to saturate (the air with fog, smoke etc)"
鼻 nose
鼻子 nose
鼻涕 "nasal mucus; snivel; snot"
鼻孔 nostril
鼻梁 "bridge of the nose"
寂寞 "lonely; lonesome; (of a place) quiet; silent"
寂静 quiet
沉寂 "silence; stillness"
落寞 "lonely; desolate"
孤单 "lone; lonely; loneliness"
孤儿 orphan
孤立 "isolated; to isolate"
不禁 "can't help (doing sth); can't refrain from"
严禁 "to strictly prohibit"
禁忌 "taboo; contraindication (medicine); to abstain from"
蒙 "drizzle; mist; blind; dim-sighted; to cover; ignorant; to suffer (misfortune); to receive (a favor); to cheat"
启蒙 "to instruct the young; to instruct the young; to initiate; to awake sb from ignorance; to free sb from prejudice or superstition; primer; enlightened; the enlightenment; western learning from the late qing dynasty"
蒙蒙 "drizzle (of rain or snow)"
敲 "to hit; to strike; to tap; to rap; to knock; to rip sb off; to overcharge"
敲门 "to knock on a door"
敲打 "to beat sb; to beat (a drum)"
敲响 "to sound a bell; to raise the alarm"
敲诈 "to rip off; to extort (money); extortion; blackmail"
暂 "temporary; to scurry"
暂时 "temporary; provisional; for the time being"
暂停 "to suspend; time-out (e.g. in sports); stoppage; pause (media player)"
暂行 provisional
陌生 "strange; unfamiliar"
瑞 "lucky; auspicious; propitious; rayl (acoustical unit)"
瑞士 switzerland
瑞典 sweden
姨妈 "(coll.) mother's sister; maternal aunt"
大姨 "aunt (mother's eldest sister); (respectful term of address for a woman who is about the age of one's mother)"
魅力 "charm; fascination; glamor; charisma"
漏洞 "leak; hole; gap; loophole"
空洞 "cavity; empty; vacuous"
山洞 "cavern; cave"
洞口 "cave mouth; tunnel entrance"
愉悦 "joyful; cheerful; delighted; joy; delight"
插 "to insert; stick in; pierce; to take part in; to interfere; to interpose"
插入 "to insert; to stick in; to plug in"
插曲 "music played during a movie, play etc; incidental music; music played in a theatrical interlude; (fig.) incident; episode"
插图 illustration
插进 "to insert; to stick in; to plug in (an electronic device)"
悔 "(bound form) to regret; to repent"
后悔 "to regret; to feel remorse"
忏悔 "to repent; (religion) to confess"
悔恨 "remorse; repentance"
懊悔 "to feel remorse; to repent; to regret"
整齐 "orderly; neat; even; tidy"
一齐 "at the same time; simultaneously"
齐全 "complete; comprehensive"
齐声 "all speaking together; in chorus"
视野 "field of view; (fig.) outlook; perspective"
野蛮 "barbarous; uncivilized"
野生 "wild; undomesticated"
稿件 "piece of writing submitted for publication; manuscript; article"
投稿 "to submit articles for publication; to contribute (writing)"
稿子 "draft of a document; script; manuscript; mental plan; precedent"
稿费 "author's remuneration"
配 "to join; to fit; to mate; to mix; to match; to deserve; to make up (a prescription); to allocate"
分配 "to distribute; to assign; to allocate; to partition (a hard drive)"
杭 hangzhou
折腾 "to toss from side to side (e.g. sleeplessly); to repeat sth over and over again; to torment sb; to play crazy; to squander (time, money)"
挫折 "setback; reverse; check; defeat; frustration; disappointment; to frustrate; to discourage; to set sb back; to blunt; to subdue"
打折 "to give a discount"
曲折 "winding; (fig.) complicated"
勇气 "courage; valor"
英勇 "heroic; gallant; valiant"
勇士 "a warrior; a brave person"
讽刺 "to satirize; to mock; irony; satire; sarcasm"
冲刺 "(sports) to sprint; to spurt; to dash; to put in a big effort to achieve a goal as the deadline approaches"
仙女 fairy
仙子 fairy
