踌躇 "to hesitate"
忖 "to ponder; to speculate; to consider; to guess"
傀 puppet
夯 "to tamp; (slang) popular; hot"
榈 "palm tree"
讷 "to speak slowly; inarticulate"
簪 hairpin
赃 "stolen goods; loot; spoils"
腩 "brisket; belly beef; spongy meat from cow's underside and neighboring ribs; erroneously translated as sirloin"
囡 "child; daughter"
噌 "to scold"
乜 "(cantonese) what?"
瞿 startled
湍 "to rush (of water)"
尕 "little (dialect)"
餮 gluttonous
婀 "graceful; willowy; unstable"
攮 "to fend off; to stab"
蒿 "celery wormwood (artemisia carvifolia); to give off; to weed"
仄 "to tilt; narrow; uneasy; oblique tones (in chinese poetry)"
艮 "blunt; tough; chewy"
亘 "extending all the way across; running all the way through"
碜 "gritty (of food); unsightly"
滂 "rushing (water)"
铳 gun
逡 "to shrink back (from sth)"
瓤 "pulp (of fruit); sth inside a covering; bad; weak"
忾 anger
蕤 "fringe; overladen with flowers"
讧 "strife; disorder; rioting; fighting"
叵 "not; thereupon"
谆 "repeatedly (in giving advice); sincere; earnest; untiring"
尻 "(literary) buttocks; rump; coccyx; sacrum"
夼 "low ground; hollow; depression (used in shandong place names)"
抔 "take up in both hands"
钌 "ruthenium (chemistry)"
牤 bull
沆 "a ferry; fog; flowing"
怄 "to annoy; to irritate; to be annoyed; to sulk"
拤 "to grip with both hands; to put one's hands on (one's hips)"
㧟 "(dialect) to scratch (an itch); to carry on the arm; to scoop up"
苤 "brassica campestris subsp. rapa"
呣 "interjection expressing a question"
徂 "to go; to reach"
珐 "enamel ware; cloisonne ware"
剋 "to scold; to beat"
虿 "(scorpion); an insect"
哏 "funny; amusing; sth comical"
哞 "moo (sound made by cow)"
扃 "(literary) to shut or bolt a door; door"
骈 "(of a pair of horses) to pull side by side; to be side by side; to be fused together; parallel (literary style)"
耖 "harrow-like implement for pulverizing clods of soil; to level ground with such an implement"
逋 "to flee; to abscond; to owe"
毪 "a type of woolen fabric made in tibet"
俵 "to distribute"
衄 "to bleed from the nose (or from the ears, gums etc); fig. to be defeated"
诹 "to choose; to consult"
捯 "(coll.) to reel in (string, yarn etc) by pulling hand over hand or by coiling; to step along; to look into; to pursue (a matter)"
埽 dike
舸 barge
裉 "side seam in an upper garment"
谝 "to brag"
喁 "breathing (of fish)"
蓊 "luxuriant vegetation"
䁖 "to glance at"
熥 "to heat up (cooked food) by baking or steaming"
谮 "to slander"
撙 "to reduce or cut down on; to rein in; to restrain"
耨 "hoe; to hoe; to weed"
耪 "to hoe"
颟 dawdling
疃 "village; animal track"
檗 "phellodendron amurense"
齁 "to snore; thirsty from excessively salty or sweet food; (dialect) very; extremely"
戆 "stupid (wu dialect)"
齉 "stuffy (nose); nasal (voice)"
伈 "nervous; fearful"
扽 "to yank; to pull tight"
诇 "(literary) to spy; to pry into"
驵 "powerful horse"
垯 "pimple; mound"
垏 "(literary) earth ridge between fields"
哢 "to sing or chirp (of birds); music sound"
㿠 "(literary) (of the face) pale due to qi and blood deficiency"
脞 "chopped meat; trifles"
堧 adjoin
瑱 "jade ear-plug"
醭 "mold on liquids"
