彩虹 rainbow
倦 tired
厄运 "bad luck; misfortune; adversity"
惊诧 "to be surprised; to be amazed; to be stunned"
淋漓 "dripping wet; pouring; saturated; (fig.) uninhibited; fluid; emotionally unrestrained; extreme"
轰动 "to cause a sensation; to create a stir in (a place); commotion; controversy"
忠实 faithful
忠告 "to give sb a word of advice; advice; counsel; a wise word"
幼稚 "young; childish; puerile"
幼儿 "young child; infant; preschooler"
幼年 "childhood; infancy"
幼小 "young; immature"
稚气 "childish nature; infantile; juvenile; puerile"
堕 "to fall; to sink; (fig.) to degenerate"
堕落 "to degrade; to degenerate; to become depraved; corrupt; a fall from grace"
乞丐 beggar
乞讨 "to beg; to go begging"
乞求 "to beg"
宴会 "banquet; feast; dinner party"
晚宴 "banquet; dinner party; soiree"
宴请 "to entertain (for dinner); to invite to dinner"
叛逆 "to rebel; to revolt; a rebel"
逆转 "to turn back; to reverse"
掐 "to pick (flowers); to pinch; to nip; to pinch off; to clutch; (slang) to fight"
据悉 "according to reports; it is reported (that)"
获悉 "to learn of sth; to find out; to get news"
强盗 "to rob (with force); bandit; robber"
盗窃 "to steal"
海盗 pirate
隧道 tunnel
发泄 "to give vent to (one's feelings)"
泄露 "to leak (information); to divulge"
宣泄 "to drain (by leading off water); to unburden oneself; to divulge; to leak a secret"
吃醋 "to feel jealous"
涅 "to blacken"
衣裳 clothes
右翼 "the right flank; (politically) right-wing"
遮 "to cover up (a shortcoming); to screen off; to hide; to conceal"
遮住 "to cover (up); to block; to obstruct; to shade"
遮盖 "to hide; to cover (one's tracks)"
蓬勃 "vigorous; flourishing; full of vitality"
报酬 "reward; remuneration"
应酬 "to engage in social activities; to socialize; dinner party; banquet; social engagement"
呻吟 "to moan; to groan"
沉吟 "to mutter to oneself irresolutely"
吟唱 "to chant; to recite"
细腻 "exquisite; meticulous"
油腻 "greasy food; oily food; (of food) greasy; oily; fatty; pretentious; vulgar"
聆听 "to listen (respectfully)"
慈祥 "kindly; benevolent (often of older person)"
祥和 "auspicious and peaceful"
不祥 "ominous; inauspicious"
廉价 "cheaply-priced; low-cost"
低廉 "cheap; inexpensive; low"
坎坷 "bumpy (of a road); rough (of life); to be down on one's luck; to be full of frustrations and dashed hopes"
绅士 gentleman
梳理 "to comb; fig. to sort out"
梳子 comb
梳头 "to comb one's hair"
坠 "to fall; to drop; to weigh down"
坠落 "to fall; to drop"
坠入 "to drop into; to fall into"
挽回 "to retrieve; to redeem"
挽救 "to save; to remedy; to rescue"
挽留 "to urge to stay; to detain"
肺炎 "pneumonia; inflammation of the lungs"
雇主 employer
雇员 employee
雇佣 "to employ; to hire"
雇用 "to employ; to hire"
骆驼 "camel; (coll.) blockhead; ninny"
驼 "hump or hunchbacked; camel"
剥削 "to exploit; exploitation"
翘 "to stick up; to rise on one end; to tilt"
纵 "warp (the vertical threads in weaving); vertical; longitudinal; north-south (lines of longitude); lengthwise; to release; to indulge; even if"
放纵 "to indulge; to pamper; to connive at; permissive; indulgent; self-indulgent; unrestrained; undisciplined; uncultured; boorish"
纵然 "even if; even though"
擅长 "to be good at; to be expert in"
擅自 "without permission"
挪 "to shift; to move"
挪威 norway
挪动 "to move; to shift"
挪用 "to shift (funds); to (legitimately) take funds set aside for one purpose in order to use them for another; to embezzle; to misappropriate"
打仗 "to fight a battle; to go to war"
墓碑 "gravestone; tombstone"
石碑 "stele; stone tablet (for inscription)"
口碑 "public praise; public reputation; commonly held opinions; current idiom"
旨在 "to have as its purpose; to be intended to; to aim to (do sth)"
撰写 "to write; to compose"
撰文 "to write an article"
浩然 "vast; expansive; overwhelming"
崛起 "to rise abruptly (to a towering position); to tower over; to spring up; to emerge suddenly; the emergence (e.g. of a power)"
火焰 "blaze; flame"
间谍 spy
波涛 "great waves; billows"
捆 "a bunch; to tie together; bundle"
吞 "to swallow; to take"
吞噬 "to swallow; to engulf; to gobble up"
嘎 "cackling sound"
嘎嘎 "honk; (northern dialect) very"
拓展 "to expand (one's client base, outlook etc)"
开拓 "to break new ground (for agriculture); to open up (a new seam); to develop (border regions); fig. to open up (new horizons)"
拓宽 "to broaden"
垄 "ridge between fields; row of crops; grave mound"
垄断 "to monopolize"
洞穴 "cave; cavern"
戳 "to jab; to poke; to stab; (coll.) to sprain; to blunt; to fuck (vulgar); to stand; to stand (sth) upright; stamp; seal"
门槛 "doorstep; sill; threshold; fig. knack or trick (esp. scheme to get sth cheaper)"
搅拌 "to stir; to agitate"
跳槽 "to change jobs; job-hopping"
游荡 "to wander; to roam about; to loaf about; to be idle"
荡漾 "to ripple; to undulate; to ripple; to undulate"
动荡 "unrest (social or political); turmoil; upheaval; commotion"
回荡 "to resound; to reverberate; to echo"
嘻嘻 "hee hee; happy"
调侃 "to ridicule; to tease; to mock; idle talk; chitchat"
驱动 "to drive; to propel; drive (vehicle wheel); drive mechanism (tape or disk); device driver (computing software)"
驱车 "to go by car (as either driver or passenger)"
驱使 "to urge; to prompt; to spur on; to order sb about"
萧条 "bleak; desolate; (economics) in a slump; sluggish; depressed"
凳子 "stool; small seat"
板凳 "wooden bench or stool"
敞开 "to open wide; unrestrictedly"
拘 "to capture; to restrain; to constrain; to adhere rigidly to; inflexible"
拘留 "to detain (a prisoner); to keep sb in custody"
拘捕 "to arrest"
拘束 "to restrict; to restrain; constrained; awkward; ill at ease; uncomfortable; reticent"
打搅 "to disturb; to trouble; to bother"
小贩 "peddler; hawker"
贩卖 "to sell; to peddle; to traffic"
贩子 "trafficker; dealer; monger; peddler"
贩毒 "to traffic narcotics; drugs trade; opium trade"
古董 "curio; antique"
奢 extravagant
奢侈 "luxurious; extravagant"
奢望 "an extravagant hope; to have excessive expectations"
奢华 "luxurious; sumptuous; lavish"
帆船 sailboat
翁 "elderly man; father; father-in-law"
富翁 "rich person; millionaire; billionaire"
颊 cheeks
脸颊 cheek
面颊 cheek
陶瓷 "pottery and porcelain; ceramics"
熏陶 "to seep in; to influence; to nurture; influence; training"
