地板 floor
所属 "one's affiliation (i.e. the organization one is affiliated with); subordinate (i.e. those subordinate to oneself); belonging to; affiliated; under one's command"
姐姐 "older sister"
姐妹 "sisters; siblings; sister (school, city etc)"
大姐 "big sister; elder sister; older sister (also polite term of address for a girl or woman slightly older than the speaker)"
姐夫 "(coll.) older sister's husband"
册 "book; booklet; classifier for books"
手册 "manual; handbook"
相册 "photo album"
画册 "picture album"
推 "to push; to cut; to refuse; to reject; to decline; to shirk (responsibility); to put off; to delay; to push forward; to nominate; to elect; massage"
推荐 "to recommend; recommendation"
推出 "to push out; to release; to launch; to publish; to recommend"
推动 "to push (for acceptance of a plan); to push forward; to promote; to actuate"
推广 "to extend; to spread; to popularize; generalization; promotion (of a product etc)"
免 "to excuse sb; to exempt; to remove or dismiss from office; to avoid; to avert; to escape; to be prohibited"
免费 "free (of charge)"
避免 "to avert; to prevent; to avoid; to refrain from"
不免 inevitably
难免 "hard to avoid; difficult to escape from; will inevitably"
费 "to cost; to spend; fee; wasteful; expenses"
杀 "to kill; to murder; to attack; to weaken or reduce; to smart (dialect); (used after a verb) extremely"
自杀 "to kill oneself; to commit suicide; to attempt suicide"
杀人 "homicide; to murder; to kill (a person)"
杀死 "to kill"
杀手 "killer; murderer; hit man; (sports) formidable player"
策略 "strategy; tactics; crafty; adroit"
决策 "strategic decision; decision-making; policy decision; to determine policy"
弄 "to do; to manage; to handle; to play with; to fool with; to mess with; to fix; to toy with"
弄到 "to get hold of; to obtain; to secure; to come by"
弄清 "to clarify; to fully understand"
玩弄 "to play with; to toy with; to dally with; to engage in; to resort to"
摆弄 "to move back and forth; to fiddle with"
梦 "dream; (bound form) to dream"
梦想 "(fig.) to dream of; dream"
梦中 "in a dream"
做梦 "to dream; to have a dream; fig. illusion; fantasy; pipe dream"
梦见 "to dream about (sth or sb); to see in a dream"
笔者 "the author; the writer"
笔记 "to take down (in writing); notes; a type of literature consisting mainly of short sketches"
铅笔 "(lead) pencil"
随笔 essay
乱 "in confusion or disorder; in a confused state of mind; disorder; upheaval; riot; illicit sexual relations; to throw into disorder; to mix up; indiscriminate; random; arbitrary"
混乱 "confusion; chaos; disorder"
胡乱 "careless; reckless; casually; absent-mindedly; at will; at random; any old how"
慌乱 "frenetic; hurried"
凌乱 "messy; disarrayed; disheveled"
造 "to make; to build; to manufacture; to invent; to fabricate; to go to; party (in a lawsuit or legal agreement); crop; classifier for crops"
造成 "to bring about; to create; to cause"
创造 "to create; to bring about; to produce; to set (a record)"
制造 "to manufacture; to make"
改造 "to transform; to reform; to remodel; to remold"
坚定 "firm; steady; staunch; resolute"
坚强 "staunch; strong"
客户 "client; customer"
顾客 "customer; client"
乘客 passenger
反 "contrary; in reverse; inside out or upside down; to reverse; to return; to oppose; opposite; against; anti-; to rebel; to use analogy; instead"
反对 "to fight against; to oppose; to be opposed to; opposition"
反而 "on the contrary; instead"
雪 "snow; (literary) to wipe away (a humiliation etc)"
雪白 "snow white"
雪花 snowflake
下雪 "to snow"
夫 "husband; man; manual worker"
丈夫 husband
夫人 "lady; madam; mrs."
夫妻 "husband and wife; married couple"
夫妇 "a (married) couple; husband and wife"
旅 "trip; travel; to travel; brigade (army)"
旅行 "to travel; journey; trip"
旅馆 hotel
旅客 "traveler; tourist"
病人 "sick person; patient; invalid"
疾病 "disease; sickness; ailment"
病毒 virus
病房 "ward (of a hospital); sickroom"
登陆 "to land; to come ashore; to make landfall (of typhoon etc)"
陆续 "in turn; successively; one after the other; bit by bit"
陆地 "dry land (as opposed to the sea)"
顿 "to stop; to pause; to arrange; to lay out; to kowtow; to stamp (one's foot); at once; classifier for meals, beatings, scoldings etc: time, bout, spell, meal"
顿时 "immediately; suddenly"
停顿 "to halt; to break off; pause (in speech)"
整顿 "to tidy up; to reorganize; to consolidate; to rectify"
安顿 "to find a place for; to help settle down; to arrange for; undisturbed; peaceful"
群 "group; crowd; flock, herd, pack etc"
群众 "mass; multitude; the masses"
人群 crowd
群体 "community; colony"
成群 "in groups; large numbers of; grouping"
居然 "unexpectedly; to one's surprise; go so far as to"
居民 "resident; inhabitant"
邻居 "neighbor; next door"
居住 "to reside; to dwell; to live in a place; resident in"
流行 "(of a contagious disease etc) to spread; to propagate; (of a style of clothing, song etc) popular; fashionable"
流氓 "rogue; hoodlum; gangster; immoral behavior"
主流 "main stream (of a river); fig. the essential point; main viewpoint of a matter; mainstream (culture etc)"
度 "to pass; to spend (time); measure; limit; extent; degree of intensity; degree (angles, temperature etc); kilowatt-hour; classifier for events and occurrences"
制度 "system (e.g. political, adminstrative etc); institution"
态度 "manner; bearing; attitude; approach"
速度 "speed; rate; velocity; (music) tempo"
发布 "to release; to issue; to announce; to distribute; to release; to issue; to announce; to distribute"
宣布 "to declare; to announce; to proclaim"
公布 "to announce; to make public; to publish"
布什 "bush (name)"
族 "race; nationality; ethnicity; clan"
家族 "family; clan"
贵族 "lord; nobility; nobleman; noblewoman; aristocrat; aristocracy"
种族 "race; ethnicity"
保 "bulgaria; bulgarian; to defend; to protect; to keep; to guarantee; to ensure"
保护 "to protect; to defend; to safeguard; protection"
保证 "guarantee; to guarantee; to ensure; to safeguard; to pledge"
保留 "to keep; to retain; to have reservations (about sth); to hold back (from saying sth); to put aside for later"
护 "to protect"
维护 "to defend; to safeguard; to protect; to uphold; to maintain"
