肘 "elbow; pork shoulder"
马蹄 "horse's hoof; horseshoe; chinese water chestnut (eleocharis dulcis or e. congesta)"
闽南 "minnan (southern fujian)"
蝙蝠 "(zoology) bat"
懦弱 "cowardly; weak"
烙印 "to brand (cattle etc); brand; (fig.) to leave a lasting mark; to stigmatize; mark; stamp; stigma"
帷幕 "heavy curtain"
对峙 "to stand opposite; to confront; confrontation"
搭讪 "to hit on someone; to strike up a conversation; to start talking to end an awkward silence or embarrassing situation"
畜生 "domestic animal; brute; bastard"
动辄 "easily; readily; frequently; at every turn; at the slightest pretext"
吝啬 "stingy; mean; miserly"
眷恋 "to miss; to long for; to remember with longing; yearning"
彷徨 "to pace back and forth; to hesitate; to be indecisive"
湿疹 eczema
馄饨 wonton
船舶 "shipping; boats"
节俭 "frugal; economical"
抨击 "to attack (verbally or in writing)"
黝黑 "dark; black; suntanned"
充沛 "abundant; plentiful; vigorous"
教诲 "(literary) to instruct; to admonish; to counsel; teachings; instruction; guidance"
侵蚀 "to erode; to corrode"
腐蚀 "corrosion; to corrode (degrade chemically); to rot; corruption"
缆车 "cable car"
电缆 "(electric) cable"
蠕动 "to wiggle; to squirm; peristalsis (wave movement of gut wall)"
突兀 "lofty or towering; sudden or abrupt"
兀自 "(literary) still; yet"
勘察 "to reconnoiter; to explore; to survey"
松弛 "to relax; relaxed; limp; lax"
外壳 "envelope; outer shell; hull; cover; case"
嬉戏 "to frolic; to romp"
粽子 "glutinous rice and choice of filling wrapped in leaves and steamed or boiled"
槐树 "locust tree (sophora japonica)"
女巫 witch
迁徙 "to migrate; to move"
石窟 "rock cave; grotto"
窟窿 "hole; pocket; cavity; loophole; debt"
脚趾 toe
遐想 "reverie; daydream; to be lost in wild and fanciful thoughts"
庇护 "asylum; shelter; to shield; to put under protection; to take under one's wing"
底蕴 "inside information; concrete details"
蕴含 "to contain; to accumulate"
蕴藏 "to hold in store; to contain (untapped reserves etc)"
缭绕 "to curl up; to linger on (sound)"
篝火 bonfire
依偎 "to nestle against; to snuggle up to"
取缔 "to suppress; to crack down on; to prohibit"
分泌 "to secrete; secretion"
梆子 "watchman's clapper; wooden clappers with bars of unequal length"
麻痹 "paralysis; palsy; numbness; to benumb; (fig.) to lull; negligent; apathetic"
亢奋 "excited; stimulated"
外甥 "sister's son; wife's sibling's son"
蜷缩 "to curl up; to huddle; to cower; cringing"
噜 "grumble; chatter"
切磋 "to compare notes; to learn from one another"
磋商 "to consult; to discuss seriously; to negotiate; to confer; negotiations; consultations"
精湛 "consummate; exquisite"
绿叶 "green leaf; (fig.) actor playing a supporting role"
绿豆 "mung bean"
绿树 "trees; greenery"
绿卡 "permanent residency permit (originally referred specifically to the us green card)"
分娩 "labor; parturition; delivery"
媲美 "to match; is comparable with"
静谧 "quiet; still; tranquil"
海棠 "chinese flowering crab apple (malus spectabilis)"
瘸 lame
棘手 "thorny (problem); intractable"
荆棘 "thistles and thorns; brambles; thorny undergrowth"
天籁 "sounds of nature"
扼杀 "to strangle; to throttle"
洗涤 "to rinse; to wash; washing"
伫立 "to stand for a long time"
瘪 "deflated; shriveled; sunken; empty"
蹒跚 "to walk unsteadily; to stagger; to lurch; to hobble; to totter"
剌 "to slash"
红薯 "sweet potato"
蟋蟀 "cricket (insect)"
蹂躏 "to ravage; to devastate; to trample on; to violate"
拈 "to nip; to grasp with the fingers; to fiddle with"
啧啧 "to click one's tongue"
酗酒 "heavy drinking; to get drunk; to drink to excess"
荟萃 "collecting together (of distinguished people or exquisite objects); to gather; to assemble"
仲裁 arbitration
漩涡 "whirlpool; eddy; vortex; (fig.) maelstrom"
中尉 "lieutenant (navy); first lieutenant (army); subaltern"
