许诺 "promise; pledge"
色彩 "tint; coloring; coloration; (fig.) flavor; character"
彩色 "color; multicolored"
光彩 "luster; splendor; radiance; brilliance"
亲 "parent; one's own (flesh and blood); relative; related; marriage; bride; close; intimate; in person; first-hand; in favor of; pro-; to kiss; (internet slang) dear"
亲自 "personally; in person; oneself"
亲人 "one's close relatives"
亲戚 "a relative (i.e. family relation)"
抢救 "to rescue"
拯救 "to save; to rescue"
救助 "to help sb in trouble; aid; assistance"
救命 "to save sb's life"
田 "field; farm"
田野 "field; open land"
田地 "field; farmland; cropland; plight; extent"
田园 "fields; countryside; rural; bucolic"
恨 "to hate; to regret"
仇恨 "to hate; hatred; enmity; hostility"
痛恨 "to detest; to loathe; to abhor"
怨恨 "to resent; to harbor a grudge against; to loathe; resentment; rancor"
憎恨 "to detest; hatred"
覆盖 "to cover"
掩盖 "to conceal; to hide behind; to cover up"
膝盖 "knee; (internet slang) to kneel down (in admiration)"
盖上 "to cover"
叶 "to be in harmony"
叶子 "(slang) marijuana"
落叶 "dead leaves; to lose leaves (of plants); deciduous"
稳 "settled; steady; stable"
稳定 "steady; stable; stability; to stabilize; to pacify"
平稳 "smooth; steady"
安稳 "steady; stable; sedate; calm; (of sleep) sound; (of a transition) smooth"
稳重 "steady; earnest; staid"
可怜 "pitiful; pathetic; to have pity on"
怜悯 "to take pity on; pity; mercy"
怜惜 "to take pity on; to feel tenderness toward"
陈 "chen (c. 1045 - 479 bc), a zhou dynasty state; to lay out; to exhibit; to display; to narrate; to state; to explain; to tell; old; stale"
陈述 "an assertion; to declare; to state"
陈列 "to display; to exhibit"
陈旧 old-fashioned
陈设 "to display; to set out; furnishings"
秒 "second (unit of time); arc second (angular measurement unit); (coll.) instantly"
经典 "the classics; scriptures; classical; classic (example, case etc); typical"
部队 "army; armed forces; troops; force; unit"
队员 "team member"
执行 "to implement; to carry out; to execute; to run"
执着 "to be strongly attached to; to be dedicated; to cling to"
执法 "to enforce a law; law enforcement"
执政 "to hold power; in office"
伤心 "to grieve; to be broken-hearted; to feel deeply hurt"
受伤 "to sustain injuries; wounded (in an accident etc); harmed"
悲伤 "sad; sorrowful"
汤 "soup; hot or boiling water; decoction of medicinal herbs; water in which sth has been boiled"
汤姆 "tom (name)"
鸡汤 "chicken stock; chicken soup"
雄 "male; staminate; grand; imposing; powerful; mighty; person or state having great power and influence"
雄厚 "robust; strong and solid"
轮 "wheel; disk; ring; steamship; to take turns; to rotate; classifier for big round objects: disk, or recurring events: round, turn"
轮到 "to be (sb's or sth's) turn"
轮流 "to alternate; to take turns"
轮胎 "tire; pneumatic tire"
轮廓 "an outline; silhouette"
逐 "(bound form) to pursue; to chase away; individually; one by one"
追逐 "to chase; to pursue vigorously"
驱逐 "to expel; to deport; banishment"
允 "just; fair; to permit; to allow"
莫 "do not; there is none who"
莫名 "inexpressible; indescribable; unexplainable; inexplicable"
莫非 "can it be possible that; could it be"
莫大 "greatest; most important"
莫不 "none doesn't; there is none who isn't; everyone"
角度 "angle; point of view"
角色 "role; character in a novel; persona"
主角 "leading role; lead; protagonist"
鞋子 shoe
拖鞋 "slippers; sandals; flip-flops"
凉鞋 sandal
枪 "gun; firearm; rifle; spear; thing with shape or function similar to a gun; to substitute for another person in a test; to knock; classifier for rifle shots; rifle; spear"
手枪 pistol
开枪 "to open fire; to shoot a gun"
枪声 "crack; shooting sound; gunshot"
枪毙 "to execute by firing squad; to shoot dead; fig. to discard; to get rid of"
舒适 "cozy; snug"
舒畅 "happy; entirely free from worry"
舒展 "to roll out; to extend; to smooth out; to unfold"
食品 "foodstuff; food; provisions"
食物 food
粮食 "foodstuff; cereals"
例如 "for example; for instance; such as"
比例 "proportion; scale"
例子 "case; (for) instance; example"
不顾 "in spite of; regardless of"
顾问 "adviser; consultant"
端 "end; extremity; item; port; to hold sth level with both hands; to carry; regular; start; origin"
顶端 "summit; peak"
终端 "end; terminal"
端正 "upright; regular; proper; correct"
宾馆 "guesthouse; lodge; hotel"
餐馆 restaurant
烧 "to burn; to cook; to stew; to bake; to roast; to heat; to boil (tea, water etc); fever; to run a temperature; (coll.) to let things go to one's head"
燃烧 "to ignite; to combust; to burn; combustion; flaming"
发烧 "to have a high temperature (from illness); to have a fever"
烧烤 "barbecue; to roast"
火烧 "to set fire to; to burn down; burning hot; baked cake"
江湖 "rivers and lakes; all corners of the country; remote areas to which hermits retreat; section of society operating independently of mainstream society, out of reach of the law; (in late imperial times) world of traveling merchants, itinerant doctors, fortune tellers etc; demimonde; (in modern times) triads; secret gangster societies; underworld"
长江 "yangtze river, or chang jiang"
士兵 soldier
官兵 "(military) officers and soldiers; officers and men"
当兵 "to serve in the army; to be a soldier"
兵力 "military strength; armed forces; troops"
醒 "to wake up; to be awake; to become aware; to sober up; to come to"
醒来 "to waken"
醒目 "eye-grabbing (headline); striking (illustration)"
机器 machine
武器 "weapon; arms"
电器 "(electrical) appliance; device"
乐器 "musical instrument"
喂养 "to feed (a child, domestic animal etc); to keep; to raise (an animal)"
罗 "gauze; to collect; to gather; to catch; to sift"
保罗 paul
波罗 "polo (car made by volkswagen)"
